task,file,path,action,n_rows,n_samples,seconds
CCRCC,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/CCRCC/preds.parquet,updated,40821000,24,89.8
CCRCC,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/CCRCC/spots.parquet,updated,3711000,24,8.4
COAD,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/COAD/preds.parquet,updated,8608050,4,19.1
COAD,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/COAD/spots.parquet,updated,782550,4,1.8
HCC,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/HCC/preds.parquet,updated,2307800,2,5.2
HCC,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/HCC/spots.parquet,updated,209800,2,0.5
IDC,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/IDC/preds.parquet,updated,19544800,4,42.8
IDC,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/IDC/spots.parquet,updated,1776800,4,4.0
LUNG,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/LUNG/preds.parquet,updated,2863300,2,6.3
LUNG,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/LUNG/spots.parquet,updated,260300,2,0.6
LYMPH_IDC,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/LYMPH_IDC/preds.parquet,updated,10980200,4,24.2
LYMPH_IDC,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/LYMPH_IDC/spots.parquet,updated,998200,4,2.3
PAAD,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/PAAD/preds.parquet,updated,4164050,3,9.2
PAAD,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/PAAD/spots.parquet,updated,378550,3,0.9
PRAD,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/PRAD/preds.parquet,updated,34490500,23,77.0
PRAD,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/PRAD/spots.parquet,updated,3135500,23,7.3
READ,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/READ/preds.parquet,updated,4623850,4,10.2
READ,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/READ/spots.parquet,updated,420350,4,1.0
SKCM,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/SKCM/preds.parquet,updated,1668700,2,3.7
SKCM,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/SKCM/spots.parquet,updated,151700,2,0.4
