task,file,path,n_rows,n_samples
CCRCC,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/CCRCC/preds.parquet,40821000,24
CCRCC,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/CCRCC/spots.parquet,3711000,24
COAD,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/COAD/preds.parquet,8608050,4
COAD,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/COAD/spots.parquet,782550,4
HCC,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/HCC/preds.parquet,2307800,2
HCC,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/HCC/spots.parquet,209800,2
IDC,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/IDC/preds.parquet,19544800,4
IDC,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/IDC/spots.parquet,1776800,4
LUNG,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/LUNG/preds.parquet,2863300,2
LUNG,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/LUNG/spots.parquet,260300,2
LYMPH_IDC,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/LYMPH_IDC/preds.parquet,10980200,4
LYMPH_IDC,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/LYMPH_IDC/spots.parquet,998200,4
PAAD,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/PAAD/preds.parquet,4164050,3
PAAD,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/PAAD/spots.parquet,378550,3
PRAD,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/PRAD/preds.parquet,34490500,23
PRAD,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/PRAD/spots.parquet,3135500,23
READ,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/READ/preds.parquet,4623850,4
READ,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/READ/spots.parquet,420350,4
SKCM,preds.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/SKCM/preds.parquet,1668700,2
SKCM,spots.parquet,/work/users/w/e/weiyang/hest_replication/instrumentation/SKCM/spots.parquet,151700,2
