sample_id,benchmark_task,patch_size_src_hest1k,patch_size_bench,patch_size_agrees,half_patch,n_shared_barcodes,relation_holds_exactly,n_rows_violating,residual_min,residual_max,residual_unique,no_swap_residual_max,no_offset_residual_max
INT1,CCRCC,245,245,True,122,1032,True,0,"[0, 0]","[0, 0]","[1, 1]","[11097, 3630]","[122, 122]"
INT10,CCRCC,245,245,True,122,1971,True,0,"[0, 0]","[0, 0]","[1, 1]","[5383, 11141]","[122, 122]"
INT11,CCRCC,245,245,True,122,1400,True,0,"[0, 0]","[0, 0]","[1, 1]","[7859, 4121]","[122, 122]"
INT12,CCRCC,245,245,True,122,1450,True,0,"[0, 0]","[0, 0]","[1, 1]","[8676, 7395]","[122, 122]"
INT13,CCRCC,245,245,True,122,4359,True,0,"[0, 0]","[0, 0]","[1, 1]","[12392, 14314]","[122, 122]"
INT14,CCRCC,245,245,True,122,4559,True,0,"[0, 0]","[0, 0]","[1, 1]","[14184, 14334]","[122, 122]"
INT15,CCRCC,245,245,True,122,4940,True,0,"[0, 0]","[0, 0]","[1, 1]","[13816, 14685]","[122, 122]"
INT16,CCRCC,245,245,True,122,3202,True,0,"[0, 0]","[0, 0]","[1, 1]","[10274, 12576]","[122, 122]"
INT17,CCRCC,245,245,True,122,3584,True,0,"[0, 0]","[0, 0]","[1, 1]","[13944, 10207]","[122, 122]"
INT18,CCRCC,244,244,True,122,4914,True,0,"[0, 0]","[0, 0]","[1, 1]","[14283, 13549]","[122, 122]"
INT19,CCRCC,245,245,True,122,4948,True,0,"[0, 0]","[0, 0]","[1, 1]","[14253, 14285]","[122, 122]"
INT2,CCRCC,245,245,True,122,2541,True,0,"[0, 0]","[0, 0]","[1, 1]","[10184, 6149]","[122, 122]"
INT20,CCRCC,245,245,True,122,4860,True,0,"[0, 0]","[0, 0]","[1, 1]","[12898, 14507]","[122, 122]"
INT21,CCRCC,245,245,True,122,4960,True,0,"[0, 0]","[0, 0]","[1, 1]","[14223, 14309]","[122, 122]"
INT22,CCRCC,245,245,True,122,3826,True,0,"[0, 0]","[0, 0]","[1, 1]","[10441, 14351]","[122, 122]"
INT23,CCRCC,245,245,True,122,4755,True,0,"[0, 0]","[0, 0]","[1, 1]","[13452, 14413]","[122, 122]"
INT24,CCRCC,245,245,True,122,4483,True,0,"[0, 0]","[0, 0]","[1, 1]","[14911, 13240]","[122, 122]"
INT3,CCRCC,245,245,True,122,1973,True,0,"[0, 0]","[0, 0]","[1, 1]","[7017, 10806]","[122, 122]"
INT4,CCRCC,244,244,True,122,1255,True,0,"[0, 0]","[0, 0]","[1, 1]","[8264, 7594]","[122, 122]"
INT5,CCRCC,245,245,True,122,1158,True,0,"[0, 0]","[0, 0]","[1, 1]","[2972, 8287]","[122, 122]"
INT6,CCRCC,245,245,True,122,1667,True,0,"[0, 0]","[0, 0]","[1, 1]","[12434, 12600]","[122, 122]"
INT7,CCRCC,245,245,True,122,2361,True,0,"[0, 0]","[0, 0]","[1, 1]","[6784, 9633]","[122, 122]"
INT8,CCRCC,245,245,True,122,1924,True,0,"[0, 0]","[0, 0]","[1, 1]","[7847, 7872]","[122, 122]"
INT9,CCRCC,245,245,True,122,1691,True,0,"[0, 0]","[0, 0]","[1, 1]","[8705, 10827]","[122, 122]"
NCBI783,IDC,409,409,True,204,2969,True,0,"[0, 0]","[0, 0]","[1, 1]","[28641, 14796]","[204, 204]"
NCBI785,IDC,308,308,True,154,3960,False,3960,"[-1, -1]","[-1, -1]","[1, 1]","[15326, 19845]","[153, 153]"
TENX95,IDC,527,527,True,263,7566,True,0,"[0, 0]","[0, 0]","[1, 1]","[47073, 27280]","[263, 263]"
TENX99,IDC,527,527,True,263,20529,True,0,"[0, 0]","[0, 0]","[1, 1]","[97889, 47524]","[263, 263]"
