sample_id,benchmark_task,hest1k_patches,bench_patches,n_patches_hest1k,n_patches_bench,patch_shape_hest1k,patch_shape_bench,patch_dtype_hest1k,patch_dtype_bench,n_barcodes_shared,barcode_sets_identical,row_order_identical,n_barcodes_compared,max_abs_img_diff,frac_img_bytes_differing,max_abs_coord_diff,attrs_hest1k,attrs_bench,error
INT1,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT1.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT1.h5,1032,1084,224x224x3,224x224x3,uint8,uint8,1032,False,False,32,108,0.701171,10677,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1032, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1032, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0943478476792592"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4568931177233368""}, ""dtype"": ""uint8"", ""shape"": [1032, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1084, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1084, 2]}, ""img"": {""attrs"": {""factor"": ""1.0943478476792592"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [1084, 224, 224, 3]}}, ""file"": {}}",
INT10,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT10.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT10.h5,1971,1983,224x224x3,224x224x3,uint8,uint8,1971,False,False,32,145,0.812057,9435,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1971, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1971, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0916679389305561"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4580147333902844""}, ""dtype"": ""uint8"", ""shape"": [1971, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1983, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1983, 2]}, ""img"": {""attrs"": {""factor"": ""1.0916679389305561"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [1983, 224, 224, 3]}}, ""file"": {}}",
INT11,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT11.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT11.h5,1400,1439,224x224x3,224x224x3,uint8,uint8,1400,False,False,32,78,0.885589,6840,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1400, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1400, 2]}, ""img"": {""attrs"": {""downsample"": ""1.095"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.45662100456621""}, ""dtype"": ""uint8"", ""shape"": [1400, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1439, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1439, 2]}, ""img"": {""attrs"": {""factor"": ""1.095"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [1439, 224, 224, 3]}}, ""file"": {}}",
INT12,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT12.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT12.h5,1450,1451,224x224x3,224x224x3,uint8,uint8,1450,False,False,32,81,0.867264,6890,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1450, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1450, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0925041189853701"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4576641783871348""}, ""dtype"": ""uint8"", ""shape"": [1450, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [1451, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [1451, 2]}, ""img"": {""attrs"": {""factor"": ""1.0925041189853701"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [1451, 224, 224, 3]}}, ""file"": {}}",
INT13,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT13.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT13.h5,4359,4359,224x224x3,224x224x3,uint8,uint8,4359,True,True,32,148,0.939102,11937,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4359, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4359, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0930687043262155"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4574277884098857""}, ""dtype"": ""uint8"", ""shape"": [4359, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4359, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4359, 2]}, ""img"": {""attrs"": {""factor"": ""1.0930687043262155"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [4359, 224, 224, 3]}}, ""file"": {}}",
INT14,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT14.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT14.h5,4559,4562,224x224x3,224x224x3,uint8,uint8,4559,False,False,32,133,0.927034,12878,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4559, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4559, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0927247896279346"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4575717552543552""}, ""dtype"": ""uint8"", ""shape"": [4559, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4562, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4562, 2]}, ""img"": {""attrs"": {""factor"": ""1.0927247896279344"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [4562, 224, 224, 3]}}, ""file"": {}}",
INT15,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT15.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT15.h5,4940,4940,224x224x3,224x224x3,uint8,uint8,4940,True,True,32,130,0.936982,12189,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4940, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4940, 2]}, ""img"": {""attrs"": {""downsample"": ""1.092055062635518"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.457852371283662""}, ""dtype"": ""uint8"", ""shape"": [4940, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4940, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4940, 2]}, ""img"": {""attrs"": {""factor"": ""1.092055062635518"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [4940, 224, 224, 3]}}, ""file"": {}}",
INT16,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT16.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT16.h5,3202,3206,224x224x3,224x224x3,uint8,uint8,3202,False,False,32,146,0.940827,11308,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [3202, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [3202, 2]}, ""img"": {""attrs"": {""downsample"": ""1.09256553537239"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4576384517104322""}, ""dtype"": ""uint8"", ""shape"": [3202, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [3206, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [3206, 2]}, ""img"": {""attrs"": {""factor"": ""1.09256553537239"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [3206, 224, 224, 3]}}, ""file"": {}}",
INT17,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT17.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT17.h5,3584,3585,224x224x3,224x224x3,uint8,uint8,3584,False,False,32,136,0.929045,12319,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [3584, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [3584, 2]}, ""img"": {""attrs"": {""downsample"": ""1.092823769302581"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4575303118810184""}, ""dtype"": ""uint8"", ""shape"": [3584, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [3585, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [3585, 2]}, ""img"": {""attrs"": {""factor"": ""1.0928237693025808"", ""patch_size"": ""245""}, ""dtype"": ""uint8"", ""shape"": [3585, 224, 224, 3]}}, ""file"": {}}",
INT18,CCRCC,/work/users/w/e/weiyang/hest_replication/hest_ext/kidney_visium_cell/patches/INT18.h5,/work/users/w/e/weiyang/hest_replication/bench_data/CCRCC/patches/INT18.h5,4914,4915,224x224x3,224x224x3,uint8,uint8,4914,False,False,32,26,0.750938,12662,"{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4914, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4914, 2]}, ""img"": {""attrs"": {""downsample"": ""1.0914693906667348"", ""patch_size_src"": ""244"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4580980504589049""}, ""dtype"": ""uint8"", ""shape"": [4914, 224, 224, 3]}}, ""file"": {}}","{""datasets"": {""barcode"": {""attrs"": {}, ""dtype"": ""object"", ""shape"": [4915, 1]}, ""coords"": {""attrs"": {}, ""dtype"": ""int64"", ""shape"": [4915, 2]}, ""img"": {""attrs"": {""factor"": ""1.0914693906667348"", ""patch_size"": ""244""}, ""dtype"": ""uint8"", ""shape"": [4915, 224, 224, 3]}}, ""file"": {}}",
