sample_id,home_set,member_of_sets
INT1,kidney_visium_cell,kidney_visium_cell
INT10,kidney_visium_cell,kidney_visium_cell
INT11,kidney_visium_cell,kidney_visium_cell
INT12,kidney_visium_cell,kidney_visium_cell
INT13,kidney_visium_cell,kidney_visium_cell
INT14,kidney_visium_cell,kidney_visium_cell
INT15,kidney_visium_cell,kidney_visium_cell
INT16,kidney_visium_cell,kidney_visium_cell
INT17,kidney_visium_cell,kidney_visium_cell
INT18,kidney_visium_cell,kidney_visium_cell
INT19,kidney_visium_cell,kidney_visium_cell
INT2,kidney_visium_cell,kidney_visium_cell
INT20,kidney_visium_cell,kidney_visium_cell
INT21,kidney_visium_cell,kidney_visium_cell
INT22,kidney_visium_cell,kidney_visium_cell
INT23,kidney_visium_cell,kidney_visium_cell
INT24,kidney_visium_cell,kidney_visium_cell
INT3,kidney_visium_cell,kidney_visium_cell
INT4,kidney_visium_cell,kidney_visium_cell
INT5,kidney_visium_cell,kidney_visium_cell
INT6,kidney_visium_cell,kidney_visium_cell
INT7,kidney_visium_cell,kidney_visium_cell
INT8,kidney_visium_cell,kidney_visium_cell
INT9,kidney_visium_cell,kidney_visium_cell
MEND37,platform_pair_multitech,platform_pair_multitech
MEND38,platform_pair_multitech,platform_pair_multitech
MEND39,platform_pair_multitech,platform_pair_multitech
MEND40,platform_pair_multitech,platform_pair_multitech
NCBI538,kidney_visium_cell,kidney_visium_cell
NCBI539,kidney_visium_cell,kidney_visium_cell
NCBI540,kidney_visium_cell,kidney_visium_cell
NCBI562,kidney_visium_cell,kidney_visium_cell
NCBI563,kidney_visium_cell,kidney_visium_cell
NCBI564,kidney_visium_cell,kidney_visium_cell
NCBI565,kidney_visium_cell,kidney_visium_cell
NCBI566,kidney_visium_cell,kidney_visium_cell
NCBI567,kidney_visium_cell,kidney_visium_cell
NCBI568,kidney_visium_cell,kidney_visium_cell
NCBI692,kidney_visium_cell,kidney_visium_cell
NCBI693,kidney_visium_cell,kidney_visium_cell
NCBI694,kidney_visium_cell,kidney_visium_cell
NCBI695,kidney_visium_cell,kidney_visium_cell
NCBI696,kidney_visium_cell,kidney_visium_cell
NCBI697,kidney_visium_cell,kidney_visium_cell
NCBI698,kidney_visium_cell,kidney_visium_cell
NCBI699,kidney_visium_cell,kidney_visium_cell
NCBI700,kidney_visium_cell,kidney_visium_cell
NCBI701,kidney_visium_cell,kidney_visium_cell
NCBI702,kidney_visium_cell,kidney_visium_cell
NCBI703,kidney_visium_cell,kidney_visium_cell
NCBI704,kidney_visium_cell,kidney_visium_cell
NCBI705,kidney_visium_cell,kidney_visium_cell
NCBI706,kidney_visium_cell,kidney_visium_cell
NCBI707,kidney_visium_cell,kidney_visium_cell
NCBI708,kidney_visium_cell,kidney_visium_cell
NCBI709,kidney_visium_cell,kidney_visium_cell
NCBI710,kidney_visium_cell,kidney_visium_cell
NCBI711,kidney_visium_cell,kidney_visium_cell
NCBI712,kidney_visium_cell,kidney_visium_cell
NCBI713,kidney_visium_cell,kidney_visium_cell
NCBI714,kidney_visium_cell,kidney_visium_cell
NCBI759,platform_pair_multitech,platform_pair_multitech
NCBI760,platform_pair_multitech,platform_pair_multitech
NCBI761,platform_pair_multitech,platform_pair_multitech
NCBI762,platform_pair_multitech,platform_pair_multitech
NCBI763,platform_pair_multitech,platform_pair_multitech
NCBI764,platform_pair_multitech,platform_pair_multitech
NCBI765,platform_pair_multitech,platform_pair_multitech
NCBI766,platform_pair_multitech,platform_pair_multitech
NCBI767,platform_pair_multitech,platform_pair_multitech
NCBI768,platform_pair_multitech,platform_pair_multitech
NCBI769,platform_pair_multitech,platform_pair_multitech
NCBI770,platform_pair_multitech,platform_pair_multitech
NCBI776,platform_pair_multitech,platform_pair_multitech
NCBI783,institution_breast_xenium,institution_breast_xenium;platform_pair_multitech
NCBI784,institution_breast_xenium,institution_breast_xenium;platform_pair_multitech
NCBI785,institution_breast_xenium,institution_breast_xenium;platform_pair_multitech
NCBI885,platform_pair_multitech,platform_pair_multitech
NCBI886,platform_pair_multitech,platform_pair_multitech
NCBI887,platform_pair_multitech,platform_pair_multitech
NCBI888,platform_pair_multitech,platform_pair_multitech
TENX147,platform_pair_multitech,platform_pair_multitech
TENX148,platform_pair_multitech,platform_pair_multitech
TENX149,platform_pair_multitech,platform_pair_multitech
TENX152,platform_pair_multitech,platform_pair_multitech
TENX153,platform_pair_multitech,platform_pair_multitech
TENX154,platform_pair_multitech,platform_pair_multitech
TENX155,platform_pair_multitech,platform_pair_multitech
TENX156,platform_pair_multitech,platform_pair_multitech
TENX191,institution_breast_xenium,institution_breast_xenium
TENX192,institution_breast_xenium,institution_breast_xenium
TENX193,institution_breast_xenium,institution_breast_xenium
TENX195,institution_breast_xenium,institution_breast_xenium
TENX196,institution_breast_xenium,institution_breast_xenium
TENX197,institution_breast_xenium,institution_breast_xenium
TENX198,institution_breast_xenium,institution_breast_xenium
TENX199,institution_breast_xenium,institution_breast_xenium
TENX200,institution_breast_xenium,institution_breast_xenium
TENX201,institution_breast_xenium,institution_breast_xenium
TENX202,institution_breast_xenium,institution_breast_xenium
TENX71,kidney_visium_cell,kidney_visium_cell
TENX95,institution_breast_xenium,institution_breast_xenium
TENX97,institution_breast_xenium,institution_breast_xenium
TENX98,institution_breast_xenium,institution_breast_xenium
TENX99,institution_breast_xenium,institution_breast_xenium
