sample_id,home_set,n_files_expected,n_files_present,n_files_size_mismatch,bytes_expected,bytes_present,missing_files,size_mismatch_detail,n_patches,n_patch_barcodes,patch_shape,n_spots_st,patch_count_equals_spot_count,patches_h5_keys,error,n_patch_barcodes_unique,n_st_barcodes_unique,n_patch_barcodes_not_in_st,patch_barcodes_subset_of_st,patch_barcodes_unique,st_barcodes_unique,n_st_spots_without_a_patch,patch_count_le_spot_count,example_patch_barcodes_not_in_st,audit_error
INT1,kidney_visium_cell,5,5,0,203033301,203033301,,,1032,1032,224x224x3,1084,False,barcode;coords;img,,1032,1084,0,True,True,True,52,True,,
INT10,kidney_visium_cell,5,5,0,427847837,427847837,,,1971,1971,224x224x3,1983,False,barcode;coords;img,,1971,1983,0,True,True,True,12,True,,
INT11,kidney_visium_cell,5,5,0,289315359,289315359,,,1400,1400,224x224x3,1439,False,barcode;coords;img,,1400,1439,0,True,True,True,39,True,,
INT12,kidney_visium_cell,5,5,0,326847566,326847566,,,1450,1450,224x224x3,1451,False,barcode;coords;img,,1450,1451,0,True,True,True,1,True,,
INT13,kidney_visium_cell,5,5,0,874993691,874993691,,,4359,4359,224x224x3,4359,True,barcode;coords;img,,4359,4359,0,True,True,True,0,True,,
INT14,kidney_visium_cell,5,5,0,958155599,958155599,,,4559,4559,224x224x3,4562,False,barcode;coords;img,,4559,4562,0,True,True,True,3,True,,
INT15,kidney_visium_cell,5,5,0,994461541,994461541,,,4940,4940,224x224x3,4940,True,barcode;coords;img,,4940,4940,0,True,True,True,0,True,,
INT16,kidney_visium_cell,5,5,0,625586359,625586359,,,3202,3202,224x224x3,3206,False,barcode;coords;img,,3202,3206,0,True,True,True,4,True,,
INT17,kidney_visium_cell,5,5,0,718763907,718763907,,,3584,3584,224x224x3,3585,False,barcode;coords;img,,3584,3585,0,True,True,True,1,True,,
INT18,kidney_visium_cell,5,5,0,1032614382,1032614382,,,4914,4914,224x224x3,4915,False,barcode;coords;img,,4914,4915,0,True,True,True,1,True,,
