probe,encoder,task,unit,n_classes,chance,n_folds,acc_blocked,acc_random_split,acc_pooled_balanced,acc_mean_per_slide_recall,majority_class_baseline,majority_vote_acc,n_slides_majority_correct,n_slides_scored,acc_blocked_adjusted,acc_drop,acc_drop_planset,verdict,confusion_within_subcluster_frac,confusion_within_subcluster_chance,n_slides_resolution_uncertain,n_slides_total,held_out_slides,excluded_slides,subcluster_A,subcluster_B,all_resolution_uncertain,rule,note,covariates
probe1b_scan_subcluster,hoptimus0,PRAD,PRAD patient 2,2,0.5,15.0,0.9671316964285714,,,,,1.0,15.0,15.0,,,,,,,,,,,,,True,decision 2.1: high accuracy means part of the slide signature is a scan-session effect rather than per-slide,,
probe1_slide_within_patient,hoptimus0,PRAD,PRAD patient 2,15,0.0666666666666666,,0.9493983585762718,0.9802777777777778,,,,,,,,0.030879419201506,,technical,0.932642487046632,0.4666666666666667,,,,,MEND139;MEND140;MEND141;MEND142;MEND143;MEND144;MEND145;MEND146,MEND147;MEND148;MEND149;MEND150;MEND151;MEND152;MEND153,True,blocked>0.8 => technical origin; near chance => round 1's 0.98 was biology+resolution,,
probe2_2class,hoptimus0,PRAD,PRAD patient 1,2,0.5,7.0,0.5111875,,0.5111875,0.7117857142857142,0.7142857142857143,0.7142857142857143,5.0,7.0,,,,,,,,,MEND154;MEND156;MEND157;MEND158;MEND159;MEND160;MEND161,MEND162,,,True,high accuracy => resolution is decodable independently of patient,"decision 1.1: nominal pixel-size groups, not R0's bins; the single 0.17 slide is excluded from BOTH training and evaluation; 2 classes over 7 slides, chance 0.5. PRAD carries no embedded pixel size, so these labels rest on the spot-spacing estimate alone - for Visium the more reliable of the two sources, being derived from the known 100um pitch, so a caveat and not a blocker.",
probe3_composition_adjusted,hoptimus0,IDC,"IDC, single-slide patients",4,0.25,,1.0,,,,,,,,0.9799258714844024,0.0200741285155976,0.0093016129876474,composition explains little,,,2.0,4.0,,,,,False,large drop => composition explains separability; no drop => it does not,,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean
probe3_composition_adjusted,hoptimus0,PAAD,"PAAD, single-slide patients",3,0.3333333333333333,,0.9980842911877396,,,,,,,,0.8128748645990026,0.1852094265887369,0.1950922640577814,composition explains most,,,0.0,3.0,,,,,False,large drop => composition explains separability; no drop => it does not,,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean
probe3_composition_adjusted,hoptimus0,LUNG,"LUNG, single-slide patients",2,0.5,,1.0,,,,,,,,0.8667453575869992,0.1332546424130007,0.1216723225765655,partial,,,0.0,2.0,,,,,False,large drop => composition explains separability; no drop => it does not,,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean
probe3_composition_adjusted,hoptimus0,SKCM,"SKCM, single-slide patients",2,0.5,,1.0,,,,,,,,0.7544168887067022,0.2455831112932978,0.2480221356835417,composition explains most,,,0.0,2.0,,,,,False,large drop => composition explains separability; no drop => it does not,,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean
probe3_composition_adjusted,hoptimus0,PRAD,PRAD patient 2 (adjusted counterpart to probe 1),15,0.0666666666666666,,0.9224663164361624,,,,,,,,0.9069280370382584,0.0155382793979041,0.0134664389498335,composition explains little,,,15.0,15.0,,,,,True,large drop => composition explains separability; no drop => it does not,,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean
probe1b_scan_subcluster,uni_v2,PRAD,PRAD patient 2,2,0.5,15.0,0.9716741071428572,,,,,1.0,15.0,15.0,,,,,,,,,,,,,True,decision 2.1: high accuracy means part of the slide signature is a scan-session effect rather than per-slide,,
probe1_slide_within_patient,uni_v2,PRAD,PRAD patient 2,15,0.0666666666666666,,0.9347090702398098,0.976111111111111,,,,,,,,0.0414020408713012,,technical,0.963855421686747,0.4666666666666667,,,,,MEND139;MEND140;MEND141;MEND142;MEND143;MEND144;MEND145;MEND146,MEND147;MEND148;MEND149;MEND150;MEND151;MEND152;MEND153,True,blocked>0.8 => technical origin; near chance => round 1's 0.98 was biology+resolution,,
probe2_2class,uni_v2,PRAD,PRAD patient 1,2,0.5,7.0,0.4888125,,0.4888125,0.6825,0.7142857142857143,0.7142857142857143,5.0,7.0,,,,,,,,,MEND154;MEND156;MEND157;MEND158;MEND159;MEND160;MEND161,MEND162,,,True,high accuracy => resolution is decodable independently of patient,"decision 1.1: nominal pixel-size groups, not R0's bins; the single 0.17 slide is excluded from BOTH training and evaluation; 2 classes over 7 slides, chance 0.5. PRAD carries no embedded pixel size, so these labels rest on the spot-spacing estimate alone - for Visium the more reliable of the two sources, being derived from the known 100um pitch, so a caveat and not a blocker.",
probe3_composition_adjusted,uni_v2,IDC,"IDC, single-slide patients",4,0.25,,1.0,,,,,,,,0.980476328599344,0.0195236714006561,0.0177573670528299,composition explains little,,,2.0,4.0,,,,,False,large drop => composition explains separability; no drop => it does not,,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean
probe3_composition_adjusted,uni_v2,PAAD,"PAAD, single-slide patients",3,0.3333333333333333,,0.9980842911877396,,,,,,,,0.7951703468944848,0.2029139442932547,0.20097335614577,composition explains most,,,0.0,3.0,,,,,False,large drop => composition explains separability; no drop => it does not,,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean
probe3_composition_adjusted,uni_v2,LUNG,"LUNG, single-slide patients",2,0.5,,1.0,,,,,,,,0.8432013152625255,0.1567986847374745,0.1477984107244483,composition explains most,,,0.0,2.0,,,,,False,large drop => composition explains separability; no drop => it does not,,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean
probe3_composition_adjusted,uni_v2,SKCM,"SKCM, single-slide patients",2,0.5,,0.9873949579831932,,,,,,,,0.7138962902234065,0.2734986677597868,0.2861037097765936,composition explains most,,,0.0,2.0,,,,,False,large drop => composition explains separability; no drop => it does not,,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean
probe3_composition_adjusted,uni_v2,PRAD,PRAD patient 2 (adjusted counterpart to probe 1),15,0.0666666666666666,,0.9108205591640236,,,,,,,,0.887457831936922,0.0233627272271016,0.0201606462270418,composition explains little,,,15.0,15.0,,,,,True,large drop => composition explains separability; no drop => it does not,,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean
probe1b_scan_subcluster,resnet50,PRAD,PRAD patient 2,2,0.5,15.0,0.9909375,,,,,1.0,15.0,15.0,,,,,,,,,,,,,True,decision 2.1: high accuracy means part of the slide signature is a scan-session effect rather than per-slide,,
probe1_slide_within_patient,resnet50,PRAD,PRAD patient 2,15,0.0666666666666666,,0.871248977389449,0.9016666666666666,,,,,,,,0.0304176892772176,,technical,0.9447852760736196,0.4666666666666667,,,,,MEND139;MEND140;MEND141;MEND142;MEND143;MEND144;MEND145;MEND146,MEND147;MEND148;MEND149;MEND150;MEND151;MEND152;MEND153,True,blocked>0.8 => technical origin; near chance => round 1's 0.98 was biology+resolution,,
probe2_2class,resnet50,PRAD,PRAD patient 1,2,0.5,7.0,0.4905,,0.4905,0.6685714285714285,0.7142857142857143,0.7142857142857143,5.0,7.0,,,,,,,,,MEND154;MEND156;MEND157;MEND158;MEND159;MEND160;MEND161,MEND162,,,True,high accuracy => resolution is decodable independently of patient,"decision 1.1: nominal pixel-size groups, not R0's bins; the single 0.17 slide is excluded from BOTH training and evaluation; 2 classes over 7 slides, chance 0.5. PRAD carries no embedded pixel size, so these labels rest on the spot-spacing estimate alone - for Visium the more reliable of the two sources, being derived from the known 100um pitch, so a caveat and not a blocker.",
probe3_composition_adjusted,resnet50,IDC,"IDC, single-slide patients",4,0.25,,0.99438202247191,,,,,,,,0.943053641217112,0.0513283812547979,0.0432732570311954,partial,,,2.0,4.0,,,,,False,large drop => composition explains separability; no drop => it does not,,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean
probe3_composition_adjusted,resnet50,PAAD,"PAAD, single-slide patients",3,0.3333333333333333,,0.9721906446044376,,,,,,,,0.7244441382372416,0.247746506367196,0.2459150045356942,composition explains most,,,0.0,3.0,,,,,False,large drop => composition explains separability; no drop => it does not,,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean
probe3_composition_adjusted,resnet50,LUNG,"LUNG, single-slide patients",2,0.5,,0.9865944396433616,,,,,,,,0.769755285289716,0.2168391543536454,0.212433868010033,composition explains most,,,0.0,2.0,,,,,False,large drop => composition explains separability; no drop => it does not,,n_nuclei;area_mean;frac_connective;frac_dead;frac_epithelial;frac_inflammatory;frac_neoplastic;neo_area_mean
