task,sample_id,patient,pixel_size_um,pixel_size_um_estimated,pixel_size_um_embedded,px_ratio_embedded_over_estimated,px_pct_diff,resolution_group,resolution_uncertain
CCRCC,INT1,Patient 24,0.4568931177233368,0.4568931177233368,0.4576659038901601,1.0016913937567589,0.16913937567588633,0.40-0.50,False
CCRCC,INT10,Patient 15,0.4580147333902844,0.4580147333902844,0.4576659038901601,0.9992383880371222,-0.07616119628778284,0.40-0.50,False
CCRCC,INT11,Patient 14,0.456621005,0.456621005,0.4576659038901601,1.0022883285672766,0.22883285672765652,0.40-0.50,False
CCRCC,INT12,Patient 13,0.4576641783871348,0.4576641783871348,0.4576659038901601,1.0000037702383249,0.0003770238324873887,0.40-0.50,False
CCRCC,INT13,Patient 12,0.4574277884098857,0.4574277884098857,0.4576659038901602,1.0005205531590073,0.0520553159007342,0.40-0.50,False
CCRCC,INT14,Patient 11,0.4575717552543552,0.4575717552543552,0.4576659038901602,1.0002057570965077,0.020575709650771934,0.40-0.50,False
CCRCC,INT15,Patient 10,0.457852371,0.457852371,0.4576659038901602,0.9995927352971166,-0.04072647028834364,0.40-0.50,False
CCRCC,INT16,Patient 9,0.4576384517104322,0.4576384517104322,0.4576659038901602,1.0000599866108832,0.005998661088324475,0.40-0.50,False
CCRCC,INT17,Patient 8,0.4575303118810184,0.4575303118810184,0.4576659038901602,1.0002963563410354,0.029635634103541975,0.40-0.50,False
CCRCC,INT18,Patient 7,0.4580980504589049,0.4580980504589049,0.4576659038901602,0.999056650495867,-0.09433495041329953,0.40-0.50,False
CCRCC,INT19,Patient 6,0.4572546277932903,0.4572546277932903,0.4576659038901602,1.0008994465487528,0.08994465487528469,0.40-0.50,False
CCRCC,INT2,Patient 23,0.4570383912248628,0.4570383912248628,0.4576659038901601,1.0013729977116705,0.13729977116705427,0.40-0.50,False
CCRCC,INT20,Patient 5,0.4571095567472187,0.4571095567472187,0.4576659038901602,1.0012170980342228,0.12170980342227633,0.40-0.50,False
CCRCC,INT21,Patient 4,0.4573366590957951,0.4573366590957951,0.4576659038901602,1.0007199177844524,0.07199177844523508,0.40-0.50,False
CCRCC,INT22,Patient 3,0.4575043161243126,0.4575043161243126,0.4576659038901602,1.0003531939703139,0.03531939703138587,0.40-0.50,False
CCRCC,INT23,Patient 2,0.4575331259845696,0.4575331259845696,0.4576659038901602,1.0002902039175958,0.029020391759582154,0.40-0.50,False
CCRCC,INT24,Patient 1,0.4573673151944301,0.4573673151944301,0.4576659038901601,1.000652842225079,0.06528422250791088,0.40-0.50,False
CCRCC,INT3,Patient 22,0.4576659038901602,0.4576659038901602,0.4576659038901601,0.9999999999999998,-2.220446049250313e-14,0.40-0.50,False
CCRCC,INT4,Patient 21,0.4587134513912085,0.4587134513912085,0.4576659038901601,0.9977163357693755,-0.2283664230624538,0.40-0.50,False
CCRCC,INT5,Patient 20,0.4566198144867198,0.4566198144867198,0.4576659038901601,1.0022909417643564,0.22909417643564023,0.40-0.50,False
CCRCC,INT6,Patient 19,0.4571428239714969,0.4571428239714969,0.4576659038901601,1.0011442374051043,0.11442374051042759,0.40-0.50,False
CCRCC,INT7,Patient 18,0.4576656043222626,0.4576656043222626,0.4576659038901601,1.0000006545562845,6.545562845072794e-05,0.40-0.50,False
CCRCC,INT8,Patient 17,0.4570383912248628,0.4570383912248628,0.4576659038901601,1.0013729977116705,0.13729977116705427,0.40-0.50,False
CCRCC,INT9,Patient 16,0.457549035711129,0.457549035711129,0.4576659038901601,1.000255422195021,0.025542219502106,0.40-0.50,False
COAD,TENX111,,0.2738047666871285,0.2738047666871285,0.2125,0.7761004403653049,-22.38995596346951,0.23-0.30,True
COAD,TENX147,Patient 1,0.2497022099084696,0.2497022099084696,0.2737753719614869,1.0964074849871832,9.64074849871832,0.23-0.30,True
COAD,TENX148,Patient 1,0.2737603571635976,0.2737603571635976,0.2737761889511267,1.0000578308258112,0.005783082581123367,0.23-0.30,False
COAD,TENX149,Patient 1,0.2740308880582206,0.2740308880582206,0.2737768185611484,0.9990728435802527,-0.0927156419747277,0.23-0.30,False
HCC,NCBI642,Patient b,0.4534062331416454,0.4534062331416454,0.4542563823021713,1.0018750275103967,0.18750275103966985,0.40-0.50,False
HCC,NCBI643,Patient a,0.4539563409112828,0.4539563409112828,0.4542563823021713,1.0006609476811938,0.06609476811938464,0.40-0.50,False
