task,design,fold,repeat,n_genes,n_selected,n_off_panel,genes_off_panel,n_common_genes,n_selection_samples,n_selection_spots,selection_material,seconds,genes
INDIANA_KIDNEY,pool,kidVis_atlas_21-015,-1,50,50,0,,3638,25,30474,all_spots_of_samples,12.6,ACTA2;ACY1;ADGRF5;AKR1C3;AQP2;ARG2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CRIP1;DEPP1;EMCN;FAM102A;FHL1;FN1;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MSRB1;MT1F;MT1X;NQO2;PDLIM2;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;TPM2;VAMP5
INDIANA_KIDNEY,pool,kidVis_atlas_21-019,-1,50,50,0,,3619,25,30396,all_spots_of_samples,12.9,ACTA2;ACY1;ADGRF5;AKR1C3;AQP2;ARG2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CLU;CRIP1;DEPP1;EMCN;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MSRB1;MT1F;MT1X;NQO2;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;THY1;TIMM10;TMEM101;TNFSF10;TPD52L1
INDIANA_KIDNEY,pool,kidVis_atlas_27-10066,-1,50,50,0,,3618,25,31020,all_spots_of_samples,11.6,ACTA2;ACY1;AKR1C3;APOL1;AQP2;ARG2;BHMT2;BOLA3;CD68;CDC42EP3;CLDN5;CLU;COX7A1;CRIP1;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPS12;MSRB1;MT1F;MT1X;NDUFS4;NQO2;PLAT;PLIN2;PLPP3;PODXL;PTPRB;RDH10;RGCC;S100A2;SFRP1;SLC9A3R2;SMIM5;SPARCL1;SPOCK2;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;TWSG1
INDIANA_KIDNEY,pool,kidVis_atlas_28-12265,-1,50,50,0,,3667,24,30064,all_spots_of_samples,11.5,ACTA2;ACY1;AKR1C3;ALS2CL;APOL1;AQP2;ARG2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CRIP1;DEPP1;DUSP6;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MRPS12;MRPS36;MSRB1;MT1F;MT1X;NQO2;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TNFSF10;TPM2;VAMP5
INDIANA_KIDNEY,pool,kidVis_atlas_29-10012,-1,50,50,0,,3618,25,30761,all_spots_of_samples,11.8,ACTA2;ACY1;AKR1C3;AQP2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CLU;CRIP1;DEPP1;FAM102A;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MSRB1;MT1F;MT1X;NDUFS4;NQO2;PDLIM2;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTBP3;PTPRB;RDH10;RGCC;S100A2;SFRP1;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TPD52L1;TWSG1;VAMP5
INDIANA_KIDNEY,pool,kidVis_atlas_29-10013,-1,50,50,0,,3851,25,30752,all_spots_of_samples,12.8,ACTA2;ACY1;APOL1;AQP2;ARG2;BHMT2;BICDL1;BOLA3;BTG2;CCL2;CD68;CDC42EP3;CLDN10;CLDN5;DEPP1;EMP1;FHL1;FN1;G0S2;GPNMB;HLA-DMB;LAPTM5;MAL2;MMP7;MRPL34;MRPS12;MRPS36;MSRB1;MT1F;MT1X;NDUFA12;NRDC;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTGER1;PTPRB;RDH10;RGCC;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TNFSF10;VAMP5
INDIANA_KIDNEY,pool,kidVis_atlas_29-10280,-1,50,50,0,,3621,25,30874,all_spots_of_samples,12.5,ACTA2;ACY1;AKR1C3;AQP2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CRIP1;DAB2;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MSRB1;MT1F;MT1X;NDUFS4;NQO2;PDLIM2;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;VAMP5;XBP1
INDIANA_KIDNEY,pool,kidVis_atlas_29-10282,-1,50,50,0,,3617,25,30638,all_spots_of_samples,11.5,ACTA2;ACY1;AKR1C3;APOL1;AQP2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CRIP1;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;LAPTM5;MAL2;MRPL34;MRPS12;MSRB1;MT1F;MT1X;NDUFS4;NQO2;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1;VAMP5
INDIANA_KIDNEY,pool,kidVis_atlas_29-10404,-1,50,50,0,,3617,25,30975,all_spots_of_samples,11.7,ACTA2;ACY1;ADGRF5;AKR1C3;AQP2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CLU;CRIP1;DEPP1;EMCN;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MSRB1;MT1F;MT1X;NDUFS4;NQO2;PDLIM2;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTPRB;RDH10;RGCC;S100A2;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFSF10;TPD52L1
INDIANA_KIDNEY,pool,kidVis_atlas_30-10125,-1,50,50,0,,3617,25,30780,all_spots_of_samples,13.1,ACTA2;ACY1;ADGRF5;AKR1C3;AQP2;BHMT2;BICDL1;BOLA3;CD68;CDC42EP3;CLDN10;CLDN5;CRIP1;DEPP1;FAM102A;FHL1;FN1;G0S2;GPNMB;HLA-DMB;IGFBP3;MAL2;MRPL34;MSRB1;MT1F;MT1X;NQO2;PDLIM2;PLAT;PLIN2;PLPP3;PODXL;PROM2;PTBP3;PTPRB;RDH10;RGCC;S100A2;SFRP1;SLC9A3R2;SMIM5;SPARCL1;TCIM;TFRC;TGFBR3;TIMM10;TMEM101;TNFAIP2;TNFSF10;TPD52L1
