name,path,n_samples,n_folds_patient,n_folds_donor,n_folds_slide_out,n_genes,sha256_12
CCRCC,/work/users/w/e/weiyang/hest_replication/results/round3/A0_smoke/fixture_task_defs/CCRCC.json,24,6,24,0,50,c15fdd6a5568
COAD,/work/users/w/e/weiyang/hest_replication/results/round3/A0_smoke/fixture_task_defs/COAD.json,4,2,4,4,50,815496ae4180
HCC,/work/users/w/e/weiyang/hest_replication/results/round3/A0_smoke/fixture_task_defs/HCC.json,2,2,2,0,50,e3fd94ae05c9
IDC,/work/users/w/e/weiyang/hest_replication/results/round3/A0_smoke/fixture_task_defs/IDC.json,4,4,3,0,50,6fe081c0b8c5
IDC_audited,/work/users/w/e/weiyang/hest_replication/results/round3/A0_smoke/fixture_task_defs/IDC_audited.json,4,4,3,4,50,e7ca0a694f22
LUNG,/work/users/w/e/weiyang/hest_replication/results/round3/A0_smoke/fixture_task_defs/LUNG.json,2,2,2,0,50,efce2907441d
LYMPH_IDC,/work/users/w/e/weiyang/hest_replication/results/round3/A0_smoke/fixture_task_defs/LYMPH_IDC.json,4,4,4,4,50,1ea675161a27
PAAD,/work/users/w/e/weiyang/hest_replication/results/round3/A0_smoke/fixture_task_defs/PAAD.json,3,3,3,0,50,a08ea2fc6471
PRAD,/work/users/w/e/weiyang/hest_replication/results/round3/A0_smoke/fixture_task_defs/PRAD.json,23,2,2,23,50,4843675f9fe3
READ,/work/users/w/e/weiyang/hest_replication/results/round3/A0_smoke/fixture_task_defs/READ.json,4,2,2,4,50,0d658983f304
SKCM,/work/users/w/e/weiyang/hest_replication/results/round3/A0_smoke/fixture_task_defs/SKCM.json,2,2,2,0,50,575fc20d3201
