sample_id,donor_id,donor_label_status,source_url,donor_statement,notes,correction
TENX111,COAD_donor_TENX111,verified,https://www.10xgenomics.com/datasets/ffpe-human-colorectal-cancer-data-with-human-immuno-oncology-profiling-panel-and-custom-add-on-1-standard,"donorCount:""1""; ""FFPE-preserved tissues were purchased from Discovery Life Sciences (Colorectal Cancer Adenocarcinoma; Grade 2).""","HEST's own field is blank for this sample; source is NOT silent (positive donorCount=1 statement) and describes a single, distinct FFPE block unrelated to the Oliveira et al. CRC study used for TENX147/148/149. Single resourceId confirmed on the product page. Treated as verified because the source makes a positive single-donor statement, even though there was no HEST label to compare it against.",
TENX147,COAD_Oliveira_P5,contradicted,https://github.com/mahmoodlab/HEST/issues/133,"CONFIRMED UPSTREAM. HEST issue #133 (closed, 2026-03-22): the maintainer (pauldoucet, COLLABORATOR) states 'the patient information for this cohort was wrong in HEST v1.1.0 (as reported in issue #126) and was corrected in HEST v1.3.0', and that they 'chose not to update HEST-bench COAD splits as we're still satisfying the core requirement of ensuring the same patient does not appear in both the train and test splits for any given fold'. The issue body gives the v1.3.0 mapping: TENX147 -> patient 5, TENX148 -> patient 2, TENX149 -> patient 1.","10x aggregator page for ""Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling"" (Oliveira et al., Nat Genet 2025, GSE280318) lists three separate Xenium resourceIds — Xenium_V1_Human_Colon_Cancer_P1_CRC_Add_on_FFPE, _P2_CRC_, _P5_CRC_ — each tied to a distinct patient (Table 1 of the paper: P1CRC/P2CRC/P5CRC are three of five different CRC donors). This positively contradicts the r5b_sample_inventory label of ""Patient 1"" for all three of TENX147/148/149, which is HEST v1.1.0-era metadata. HEST maintainer (GitHub issue #133, pauldoucet) confirmed the v1.1.0 patient info for this cohort was wrong and was corrected in v1.3.0 to TENX147->patient5, TENX148->patient2, TENX149->patient1 (three distinct patients) — but this specific TENX-id-to-P# correspondence is HEST-internal (reported secondhand on GitHub, not independently re-derivable from 10x's page, which does not expose HEST sample IDs). donor_id below follows that HEST-corrected mapping for traceability, flagged as not independently cross-checked beyond ""these are three distinct donors.""","UPGRADED by lead from 'HEST-mapping, uncorroborated' to corroborated: the v1.3.0 patient mapping is quoted in the issue body and confirmed by the maintainer's reply, both read directly from the GitHub API rather than taken from the audit's summary. Consequence for this project, which the issue does not draw: because the bench splits were deliberately left as-is, COAD fold 0 holds out TENX147+148+149 together - three donors at once - and trains on TENX111 alone, while fold 1 holds out TENX111 and trains on three donors. The maintainer's stated requirement is met, but COAD's patient gap is a 3-donor holdout trained on a single donor, which is why it is the largest of any task and why it is not comparable with the other tasks' 1-donor holdouts."
TENX148,COAD_Oliveira_P2,contradicted,https://github.com/mahmoodlab/HEST/issues/133,"CONFIRMED UPSTREAM. HEST issue #133 (closed, 2026-03-22): the maintainer (pauldoucet, COLLABORATOR) states 'the patient information for this cohort was wrong in HEST v1.1.0 (as reported in issue #126) and was corrected in HEST v1.3.0', and that they 'chose not to update HEST-bench COAD splits as we're still satisfying the core requirement of ensuring the same patient does not appear in both the train and test splits for any given fold'. The issue body gives the v1.3.0 mapping: TENX147 -> patient 5, TENX148 -> patient 2, TENX149 -> patient 1.","10x aggregator page for ""Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling"" (Oliveira et al., Nat Genet 2025, GSE280318) lists three separate Xenium resourceIds — Xenium_V1_Human_Colon_Cancer_P1_CRC_Add_on_FFPE, _P2_CRC_, _P5_CRC_ — each tied to a distinct patient (Table 1 of the paper: P1CRC/P2CRC/P5CRC are three of five different CRC donors). This positively contradicts the r5b_sample_inventory label of ""Patient 1"" for all three of TENX147/148/149, which is HEST v1.1.0-era metadata. HEST maintainer (GitHub issue #133, pauldoucet) confirmed the v1.1.0 patient info for this cohort was wrong and was corrected in v1.3.0 to TENX147->patient5, TENX148->patient2, TENX149->patient1 (three distinct patients) — but this specific TENX-id-to-P# correspondence is HEST-internal (reported secondhand on GitHub, not independently re-derivable from 10x's page, which does not expose HEST sample IDs). donor_id below follows that HEST-corrected mapping for traceability, flagged as not independently cross-checked beyond ""these are three distinct donors.""","UPGRADED by lead from 'HEST-mapping, uncorroborated' to corroborated: the v1.3.0 patient mapping is quoted in the issue body and confirmed by the maintainer's reply, both read directly from the GitHub API rather than taken from the audit's summary. Consequence for this project, which the issue does not draw: because the bench splits were deliberately left as-is, COAD fold 0 holds out TENX147+148+149 together - three donors at once - and trains on TENX111 alone, while fold 1 holds out TENX111 and trains on three donors. The maintainer's stated requirement is met, but COAD's patient gap is a 3-donor holdout trained on a single donor, which is why it is the largest of any task and why it is not comparable with the other tasks' 1-donor holdouts."
TENX149,COAD_Oliveira_P1,contradicted,https://github.com/mahmoodlab/HEST/issues/133,"CONFIRMED UPSTREAM. HEST issue #133 (closed, 2026-03-22): the maintainer (pauldoucet, COLLABORATOR) states 'the patient information for this cohort was wrong in HEST v1.1.0 (as reported in issue #126) and was corrected in HEST v1.3.0', and that they 'chose not to update HEST-bench COAD splits as we're still satisfying the core requirement of ensuring the same patient does not appear in both the train and test splits for any given fold'. The issue body gives the v1.3.0 mapping: TENX147 -> patient 5, TENX148 -> patient 2, TENX149 -> patient 1.","10x aggregator page for ""Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling"" (Oliveira et al., Nat Genet 2025, GSE280318) lists three separate Xenium resourceIds — Xenium_V1_Human_Colon_Cancer_P1_CRC_Add_on_FFPE, _P2_CRC_, _P5_CRC_ — each tied to a distinct patient (Table 1 of the paper: P1CRC/P2CRC/P5CRC are three of five different CRC donors). This positively contradicts the r5b_sample_inventory label of ""Patient 1"" for all three of TENX147/148/149, which is HEST v1.1.0-era metadata. HEST maintainer (GitHub issue #133, pauldoucet) confirmed the v1.1.0 patient info for this cohort was wrong and was corrected in v1.3.0 to TENX147->patient5, TENX148->patient2, TENX149->patient1 (three distinct patients) — but this specific TENX-id-to-P# correspondence is HEST-internal (reported secondhand on GitHub, not independently re-derivable from 10x's page, which does not expose HEST sample IDs). donor_id below follows that HEST-corrected mapping for traceability, flagged as not independently cross-checked beyond ""these are three distinct donors.""","UPGRADED by lead from 'HEST-mapping, uncorroborated' to corroborated: the v1.3.0 patient mapping is quoted in the issue body and confirmed by the maintainer's reply, both read directly from the GitHub API rather than taken from the audit's summary. Consequence for this project, which the issue does not draw: because the bench splits were deliberately left as-is, COAD fold 0 holds out TENX147+148+149 together - three donors at once - and trains on TENX111 alone, while fold 1 holds out TENX111 and trains on three donors. The maintainer's stated requirement is met, but COAD's patient gap is a 3-donor holdout trained on a single donor, which is why it is the largest of any task and why it is not comparable with the other tasks' 1-donor holdouts."
TENX116,TENX116,unverifiable,https://www.10xgenomics.com/datasets/ffpe-human-pancreas-with-xenium-multimodal-cell-segmentation-1-standard ; https://www.10xgenomics.com/datasets/pancreatic-cancer-with-xenium-human-multi-tissue-and-cancer-panel-1-standard,"HEST paper (arxiv 2406.16192v2) states PAAD = ""3 samples from 3 different patients from 10x Genomics (\""FFPE Human Pancreas with Xenium Multimodal Cell Segmentation\"" and \""Pancreatic Cancer with Xenium Human Multi-Tissue and Cancer Panel\"")"" for TENX116, TENX126, TENX140. Both named 10x product pages were checked directly: page 1 (ffpe-human-pancreas-with-xenium-multimodal-cell-segmentation-1-standard) has donorCount:""1"", single resourceId (Xenium_V1_human_Pancreas_FFPE), tissue ""purchased from AcePix Biosciences"" (Stage III Adenocarcinoma). Page 2 (pancreatic-cancer-with-xenium-human-multi-tissue-and-cancer-panel-1-standard) also has donorCount:""1"", single resourceId (Xenium_V1_hPancreas_Cancer_Add_on_FFPE), ""An FFPE-preserved block was purchased from AcePix Biosciences (adenocarcinoma, Grade I-II, 50% tumor)."" Two named products, each single-donor, supply at most 2 distinct donors -- yet 3 samples/3 different patients are claimed. No third product page was found by search. This is a real, source-confirmed arithmetic inconsistency, but which two of {TENX116,TENX126,TENX140} share a donor (and which is the odd one out) cannot be determined without inferring from pixel size or ID adjacency, which this audit is required not to do. Flagged as unverifiable at the per-sample level; the task-level contradiction should be escalated for follow-up (e.g. requesting the gated HEST metadata table, which would state the exact source URL per sample).","HEST paper (arxiv 2406.16192v2) states PAAD = ""3 samples from 3 different patients from 10x Genomics (\""FFPE Human Pancreas with Xenium Multimodal Cell Segmentation\"" and \""Pancreatic Cancer with Xenium Human Multi-Tissue and Cancer Panel\"")"" for TENX116, TENX126, TENX140. Both named 10x product pages were checked directly: page 1 (ffpe-human-pancreas-with-xenium-multimodal-cell-segmentation-1-standard) has donorCount:""1"", single resourceId (Xenium_V1_human_Pancreas_FFPE), tissue ""purchased from AcePix Biosciences"" (Stage III Adenocarcinoma). Page 2 (pancreatic-cancer-with-xenium-human-multi-tissue-and-cancer-panel-1-standard) also has donorCount:""1"", single resourceId (Xenium_V1_hPancreas_Cancer_Add_on_FFPE), ""An FFPE-preserved block was purchased from AcePix Biosciences (adenocarcinoma, Grade I-II, 50% tumor)."" Two named products, each single-donor, supply at most 2 distinct donors -- yet 3 samples/3 different patients are claimed. No third product page was found by search. This is a real, source-confirmed arithmetic inconsistency, but which two of {TENX116,TENX126,TENX140} share a donor (and which is the odd one out) cannot be determined without inferring from pixel size or ID adjacency, which this audit is required not to do. Flagged as unverifiable at the per-sample level; the task-level contradiction should be escalated for follow-up (e.g. requesting the gated HEST metadata table, which would state the exact source URL per sample).","CORRECTED by lead. The audit's note says HEST cites 'two named 10x products' for three samples, implying at most two donors. HEST's metadata cites THREE distinct pages, one per sample (TENX116 Multi-Tissue and Cancer Panel; TENX126 Xenium Multimodal Cell Segmentation; TENX140 Immuno-Oncology Profiling Panel). Three single-donor products can supply three donors, so HEST's 3-patient claim is NOT contradicted. Status stays unverifiable because no page was reached that names a donor, but the earlier reasoning is withdrawn."
TENX126,TENX126,unverifiable,https://www.10xgenomics.com/datasets/ffpe-human-pancreas-with-xenium-multimodal-cell-segmentation-1-standard ; https://www.10xgenomics.com/datasets/pancreatic-cancer-with-xenium-human-multi-tissue-and-cancer-panel-1-standard,"HEST paper (arxiv 2406.16192v2) states PAAD = ""3 samples from 3 different patients from 10x Genomics (\""FFPE Human Pancreas with Xenium Multimodal Cell Segmentation\"" and \""Pancreatic Cancer with Xenium Human Multi-Tissue and Cancer Panel\"")"" for TENX116, TENX126, TENX140. Both named 10x product pages were checked directly: page 1 (ffpe-human-pancreas-with-xenium-multimodal-cell-segmentation-1-standard) has donorCount:""1"", single resourceId (Xenium_V1_human_Pancreas_FFPE), tissue ""purchased from AcePix Biosciences"" (Stage III Adenocarcinoma). Page 2 (pancreatic-cancer-with-xenium-human-multi-tissue-and-cancer-panel-1-standard) also has donorCount:""1"", single resourceId (Xenium_V1_hPancreas_Cancer_Add_on_FFPE), ""An FFPE-preserved block was purchased from AcePix Biosciences (adenocarcinoma, Grade I-II, 50% tumor)."" Two named products, each single-donor, supply at most 2 distinct donors -- yet 3 samples/3 different patients are claimed. No third product page was found by search. This is a real, source-confirmed arithmetic inconsistency, but which two of {TENX116,TENX126,TENX140} share a donor (and which is the odd one out) cannot be determined without inferring from pixel size or ID adjacency, which this audit is required not to do. Flagged as unverifiable at the per-sample level; the task-level contradiction should be escalated for follow-up (e.g. requesting the gated HEST metadata table, which would state the exact source URL per sample).","HEST paper (arxiv 2406.16192v2) states PAAD = ""3 samples from 3 different patients from 10x Genomics (\""FFPE Human Pancreas with Xenium Multimodal Cell Segmentation\"" and \""Pancreatic Cancer with Xenium Human Multi-Tissue and Cancer Panel\"")"" for TENX116, TENX126, TENX140. Both named 10x product pages were checked directly: page 1 (ffpe-human-pancreas-with-xenium-multimodal-cell-segmentation-1-standard) has donorCount:""1"", single resourceId (Xenium_V1_human_Pancreas_FFPE), tissue ""purchased from AcePix Biosciences"" (Stage III Adenocarcinoma). Page 2 (pancreatic-cancer-with-xenium-human-multi-tissue-and-cancer-panel-1-standard) also has donorCount:""1"", single resourceId (Xenium_V1_hPancreas_Cancer_Add_on_FFPE), ""An FFPE-preserved block was purchased from AcePix Biosciences (adenocarcinoma, Grade I-II, 50% tumor)."" Two named products, each single-donor, supply at most 2 distinct donors -- yet 3 samples/3 different patients are claimed. No third product page was found by search. This is a real, source-confirmed arithmetic inconsistency, but which two of {TENX116,TENX126,TENX140} share a donor (and which is the odd one out) cannot be determined without inferring from pixel size or ID adjacency, which this audit is required not to do. Flagged as unverifiable at the per-sample level; the task-level contradiction should be escalated for follow-up (e.g. requesting the gated HEST metadata table, which would state the exact source URL per sample).","CORRECTED by lead. The audit's note says HEST cites 'two named 10x products' for three samples, implying at most two donors. HEST's metadata cites THREE distinct pages, one per sample (TENX116 Multi-Tissue and Cancer Panel; TENX126 Xenium Multimodal Cell Segmentation; TENX140 Immuno-Oncology Profiling Panel). Three single-donor products can supply three donors, so HEST's 3-patient claim is NOT contradicted. Status stays unverifiable because no page was reached that names a donor, but the earlier reasoning is withdrawn."
TENX140,TENX140,unverifiable,https://www.10xgenomics.com/datasets/ffpe-human-pancreas-with-xenium-multimodal-cell-segmentation-1-standard ; https://www.10xgenomics.com/datasets/pancreatic-cancer-with-xenium-human-multi-tissue-and-cancer-panel-1-standard,"HEST paper (arxiv 2406.16192v2) states PAAD = ""3 samples from 3 different patients from 10x Genomics (\""FFPE Human Pancreas with Xenium Multimodal Cell Segmentation\"" and \""Pancreatic Cancer with Xenium Human Multi-Tissue and Cancer Panel\"")"" for TENX116, TENX126, TENX140. Both named 10x product pages were checked directly: page 1 (ffpe-human-pancreas-with-xenium-multimodal-cell-segmentation-1-standard) has donorCount:""1"", single resourceId (Xenium_V1_human_Pancreas_FFPE), tissue ""purchased from AcePix Biosciences"" (Stage III Adenocarcinoma). Page 2 (pancreatic-cancer-with-xenium-human-multi-tissue-and-cancer-panel-1-standard) also has donorCount:""1"", single resourceId (Xenium_V1_hPancreas_Cancer_Add_on_FFPE), ""An FFPE-preserved block was purchased from AcePix Biosciences (adenocarcinoma, Grade I-II, 50% tumor)."" Two named products, each single-donor, supply at most 2 distinct donors -- yet 3 samples/3 different patients are claimed. No third product page was found by search. This is a real, source-confirmed arithmetic inconsistency, but which two of {TENX116,TENX126,TENX140} share a donor (and which is the odd one out) cannot be determined without inferring from pixel size or ID adjacency, which this audit is required not to do. Flagged as unverifiable at the per-sample level; the task-level contradiction should be escalated for follow-up (e.g. requesting the gated HEST metadata table, which would state the exact source URL per sample).","HEST paper (arxiv 2406.16192v2) states PAAD = ""3 samples from 3 different patients from 10x Genomics (\""FFPE Human Pancreas with Xenium Multimodal Cell Segmentation\"" and \""Pancreatic Cancer with Xenium Human Multi-Tissue and Cancer Panel\"")"" for TENX116, TENX126, TENX140. Both named 10x product pages were checked directly: page 1 (ffpe-human-pancreas-with-xenium-multimodal-cell-segmentation-1-standard) has donorCount:""1"", single resourceId (Xenium_V1_human_Pancreas_FFPE), tissue ""purchased from AcePix Biosciences"" (Stage III Adenocarcinoma). Page 2 (pancreatic-cancer-with-xenium-human-multi-tissue-and-cancer-panel-1-standard) also has donorCount:""1"", single resourceId (Xenium_V1_hPancreas_Cancer_Add_on_FFPE), ""An FFPE-preserved block was purchased from AcePix Biosciences (adenocarcinoma, Grade I-II, 50% tumor)."" Two named products, each single-donor, supply at most 2 distinct donors -- yet 3 samples/3 different patients are claimed. No third product page was found by search. This is a real, source-confirmed arithmetic inconsistency, but which two of {TENX116,TENX126,TENX140} share a donor (and which is the odd one out) cannot be determined without inferring from pixel size or ID adjacency, which this audit is required not to do. Flagged as unverifiable at the per-sample level; the task-level contradiction should be escalated for follow-up (e.g. requesting the gated HEST metadata table, which would state the exact source URL per sample).","CORRECTED by lead. The audit's note says HEST cites 'two named 10x products' for three samples, implying at most two donors. HEST's metadata cites THREE distinct pages, one per sample (TENX116 Multi-Tissue and Cancer Panel; TENX126 Xenium Multimodal Cell Segmentation; TENX140 Immuno-Oncology Profiling Panel). Three single-donor products can supply three donors, so HEST's 3-patient claim is NOT contradicted. Status stays unverifiable because no page was reached that names a donor, but the earlier reasoning is withdrawn."
TENX115,SKCM_hest_patient_2,unverifiable,https://www.10xgenomics.com/datasets/human-skin-data-xenium-human-multi-tissue-and-cancer-panel-1-standard,"10x product page ""Human Skin Data with Xenium Human Multi-Tissue and Cancer Panel"" states donorCount:""2"" (diseaseStates:""healthy"") and describes ""FFPE-preserved tissues were purchased from Avaden Biosciences (non-diseased skin)"" with language of ""two samples"" repeated in the text. donorCount=2 exactly matches the 2 HEST samples, positively confirming 2 distinct donors, consistent with HEST's ""patient 1""/""patient 2"" split. Note: the source describes the tissue as non-diseased/healthy skin, not melanoma -- a disease-label discrepancy outside the scope of this donor-identity audit, but worth flagging separately.","10x product page ""Human Skin Data with Xenium Human Multi-Tissue and Cancer Panel"" states donorCount:""2"" (diseaseStates:""healthy"") and describes ""FFPE-preserved tissues were purchased from Avaden Biosciences (non-diseased skin)"" with language of ""two samples"" repeated in the text. donorCount=2 exactly matches the 2 HEST samples, positively confirming 2 distinct donors, consistent with HEST's ""patient 1""/""patient 2"" split. Note: the source describes the tissue as non-diseased/healthy skin, not melanoma -- a disease-label discrepancy outside the scope of this donor-identity audit, but worth flagging separately.","CORRECTED by lead. The audit cites '10x Human Skin Data with Xenium Human Multi-Tissue and Cancer Panel' (donorCount:2). That is not the page HEST cites for either sample: HEST maps TENX115 -> 'Human Skin Preview Data (Xenium Human Skin Gene Expression Panel)' and TENX117 -> the Custom Add-on variant of that preview. The donorCount:2 statement is from a different product, so it does not verify these two. Note the pattern this leaves open: two panel variants of ONE preview dataset is the same shape as IDC's two breast-panel variants."
TENX117,SKCM_hest_patient_1,unverifiable,https://www.10xgenomics.com/datasets/human-skin-data-xenium-human-multi-tissue-and-cancer-panel-1-standard,"10x product page ""Human Skin Data with Xenium Human Multi-Tissue and Cancer Panel"" states donorCount:""2"" (diseaseStates:""healthy"") and describes ""FFPE-preserved tissues were purchased from Avaden Biosciences (non-diseased skin)"" with language of ""two samples"" repeated in the text. donorCount=2 exactly matches the 2 HEST samples, positively confirming 2 distinct donors, consistent with HEST's ""patient 1""/""patient 2"" split. Note: the source describes the tissue as non-diseased/healthy skin, not melanoma -- a disease-label discrepancy outside the scope of this donor-identity audit, but worth flagging separately.","10x product page ""Human Skin Data with Xenium Human Multi-Tissue and Cancer Panel"" states donorCount:""2"" (diseaseStates:""healthy"") and describes ""FFPE-preserved tissues were purchased from Avaden Biosciences (non-diseased skin)"" with language of ""two samples"" repeated in the text. donorCount=2 exactly matches the 2 HEST samples, positively confirming 2 distinct donors, consistent with HEST's ""patient 1""/""patient 2"" split. Note: the source describes the tissue as non-diseased/healthy skin, not melanoma -- a disease-label discrepancy outside the scope of this donor-identity audit, but worth flagging separately.","CORRECTED by lead. The audit cites '10x Human Skin Data with Xenium Human Multi-Tissue and Cancer Panel' (donorCount:2). That is not the page HEST cites for either sample: HEST maps TENX115 -> 'Human Skin Preview Data (Xenium Human Skin Gene Expression Panel)' and TENX117 -> the Custom Add-on variant of that preview. The donorCount:2 statement is from a different product, so it does not verify these two. Note the pattern this leaves open: two panel variants of ONE preview dataset is the same shape as IDC's two breast-panel variants."
TENX118,LUNG_hest_patient_2,unverifiable,https://www.10xgenomics.com/datasets/preview-data-ffpe-human-lung-cancer-with-xenium-multimodal-cell-segmentation-1-standard,"10x product page ""Preview Data: FFPE Human Lung Cancer with Xenium Multimodal Cell Segmentation"" -- the ONLY 10x product HEST cites for both TENX118 and TENX141 -- has donorCount:""1"" and exactly ONE resourceId (Xenium_V1_humanLung_Cancer_FFPE) for the entire page. Biomaterials text: ""FFPE tissue microstrips from multiple tissue samples were embedded within a single FFPE donor block. The selected section represents adult human Lung Adenocarcinoma tissue purchased from BioIVT."" No second lung dataset exists on this page. HEST's claim of ""2 LUAD samples from 2 different patients"" from this single-donor, single-resourceId product is directly contradicted: TENX118 and TENX141 can only be two sections of the SAME single donor block. This mirrors the already-established IDC (TENX95/TENX99) split fault.","10x product page ""Preview Data: FFPE Human Lung Cancer with Xenium Multimodal Cell Segmentation"" -- the ONLY 10x product HEST cites for both TENX118 and TENX141 -- has donorCount:""1"" and exactly ONE resourceId (Xenium_V1_humanLung_Cancer_FFPE) for the entire page. Biomaterials text: ""FFPE tissue microstrips from multiple tissue samples were embedded within a single FFPE donor block. The selected section represents adult human Lung Adenocarcinoma tissue purchased from BioIVT."" No second lung dataset exists on this page. HEST's claim of ""2 LUAD samples from 2 different patients"" from this single-donor, single-resourceId product is directly contradicted: TENX118 and TENX141 can only be two sections of the SAME single donor block. This mirrors the already-established IDC (TENX95/TENX99) split fault.","CORRECTED by lead. The audit marked these contradicted on the grounds that HEST cites a single 10x product for both. HEST's own metadata cites TWO distinct pages: TENX118 -> 'Preview Data: FFPE Human Lung Cancer with Xenium Multimodal Cell Segmentation', TENX141 -> 'FFPE Human Lung Cancer Data with Human Immuno-Oncology Profiling Panel and Custom Add-on'. Each page's donorCount:1 therefore refers to a different dataset and says nothing about whether the two share a donor. TENX141 additionally carries a disease_comment (NSCLC Stage I-B Grade 2) that TENX118 lacks. No source statement links them, so this is unverifiable, not contradicted."
