document,claims,verified,unresolved,uncited,derived_mismatch,derived_error
README.md,231,231,0,0,0,0
docs/HEST_replication_handoff.md,49,49,0,0,0,0
docs/HEST_replication_review.md,112,112,0,0,0,0
docs/README.md,6,6,0,0,0,0
docs/WAYS_OF_WORKING.md,38,38,0,0,0,0
docs/closeout_gate_report.md,41,41,0,0,0,0
docs/deck_master_outline.md,162,162,0,0,0,0
docs/deck_speaker_scripts.md,98,93,5,0,0,0
docs/docs_clean_report.md,62,62,0,0,0,0
docs/first_year_ST_project_proposal.md,21,16,5,0,0,0
docs/hest_bench_issue_draft.md,56,56,0,0,0,0
docs/literature_landscape.md,20,20,0,0,0,0
docs/r5_idc_provenance.md,60,60,0,0,0,0
docs/round1_final_stage_report.md,169,169,0,0,0,0
docs/round2_R0_R1_stage_report.md,275,275,0,0,0,0
docs/round2_R3_stage_report.md,266,265,0,0,0,1
docs/round2_R5_stage_report.md,161,161,0,0,0,0
docs/round2_R8_stage_report.md,149,149,0,0,0,0
docs/round2_closeout_report.md,11,11,0,0,0,0
docs/round2_execution_plan.md,36,36,0,0,0,0
docs/round2_results_synthesis.md,105,105,0,0,0,0
docs/round3_A1_stage_report.md,153,153,0,0,0,0
docs/round3_d0_expansion_proposal.md,24,24,0,0,0,0
docs/round3_execution_plan.md,75,75,0,0,0,0
TOTAL,2380,2369,10,0,0,1
