encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_cal_spots,n_cal_slides,n_pool_spots,n_train_natural,n_train_matched,n_match_target,n_train_buffer_dropped,n_blocks_total,n_test,n_test_slides,test_slides,cal_slides,cal_shares_donor_with_test,cal_shares_session_with_test,cal_shares_resolution_group_with_test,cal_shares_exact_session_with_test,cal_status,size_match
resnet50,CCRCC,shipped,patient,0,-1,0,none,20,0,0,,55849,55849,55849,,0,,18371,4,INT13;INT14;INT15;INT24,,,,,,cal_fraction_zero,none
resnet50,CCRCC,shipped,patient,1,-1,0,none,20,0,0,,67651,67651,67651,,0,,6569,4,INT10;INT11;INT12;INT9,,,,,,cal_fraction_zero,none
resnet50,CCRCC,shipped,patient,2,-1,0,none,20,0,0,,63464,63464,63464,,0,,10756,4,INT23;INT6;INT7;INT8,,,,,,cal_fraction_zero,none
resnet50,CCRCC,shipped,patient,3,-1,0,none,20,0,0,,67098,67098,67098,,0,,7122,4,INT2;INT3;INT4;INT5,,,,,,cal_fraction_zero,none
resnet50,CCRCC,shipped,patient,4,-1,0,none,20,0,0,,59472,59472,59472,,0,,14748,4,INT1;INT20;INT21;INT22,,,,,,cal_fraction_zero,none
resnet50,CCRCC,shipped,patient,5,-1,0,none,20,0,0,,57566,57566,57566,,0,,16654,4,INT16;INT17;INT18;INT19,,,,,,cal_fraction_zero,none
resnet50,COAD,shipped,patient,0,-1,0,none,1,0,0,,5079,5079,5079,,0,,10572,3,TENX147;TENX148;TENX149,,,,,,cal_fraction_zero,none
resnet50,COAD,shipped,patient,1,-1,0,none,3,0,0,,10572,10572,10572,,0,,5079,1,TENX111,,,,,,cal_fraction_zero,none
resnet50,HCC,shipped,patient,0,-1,0,none,1,0,0,,1941,1941,1941,,0,,2255,1,NCBI643,,,,,,cal_fraction_zero,none
resnet50,HCC,shipped,patient,1,-1,0,none,1,0,0,,2255,2255,2255,,0,,1941,1,NCBI642,,,,,,cal_fraction_zero,none
resnet50,IDC,shipped,patient,0,-1,0,none,3,0,0,,14775,14775,14775,,0,,20761,1,TENX99,,,,,,cal_fraction_zero,none
resnet50,IDC,shipped,patient,1,-1,0,none,3,0,0,,27776,27776,27776,,0,,7760,1,TENX95,,,,,,cal_fraction_zero,none
resnet50,IDC,shipped,patient,2,-1,0,none,3,0,0,,31526,31526,31526,,0,,4010,1,NCBI785,,,,,,cal_fraction_zero,none
resnet50,IDC,shipped,patient,3,-1,0,none,3,0,0,,32531,32531,32531,,0,,3005,1,NCBI783,,,,,,cal_fraction_zero,none
resnet50,LUNG,shipped,patient,0,-1,0,none,1,0,0,,1944,1944,1944,,0,,3262,1,TENX141,,,,,,cal_fraction_zero,none
resnet50,LUNG,shipped,patient,1,-1,0,none,1,0,0,,3262,3262,3262,,0,,1944,1,TENX118,,,,,,cal_fraction_zero,none
resnet50,LYMPH_IDC,shipped,patient,0,-1,0,none,3,0,0,,14972,14972,14972,,0,,4992,1,NCBI684,,,,,,cal_fraction_zero,none
resnet50,LYMPH_IDC,shipped,patient,1,-1,0,none,3,0,0,,14972,14972,14972,,0,,4992,1,NCBI683,,,,,,cal_fraction_zero,none
resnet50,LYMPH_IDC,shipped,patient,2,-1,0,none,3,0,0,,14976,14976,14976,,0,,4988,1,NCBI682,,,,,,cal_fraction_zero,none
resnet50,LYMPH_IDC,shipped,patient,3,-1,0,none,3,0,0,,14972,14972,14972,,0,,4992,1,NCBI681,,,,,,cal_fraction_zero,none
resnet50,PAAD,shipped,patient,0,-1,0,none,2,0,0,,5561,5561,5561,,0,,2010,1,TENX116,,,,,,cal_fraction_zero,none
resnet50,PAAD,shipped,patient,1,-1,0,none,2,0,0,,3961,3961,3961,,0,,3610,1,TENX140,,,,,,cal_fraction_zero,none
resnet50,PAAD,shipped,patient,2,-1,0,none,2,0,0,,5620,5620,5620,,0,,1951,1,TENX126,,,,,,cal_fraction_zero,none
resnet50,PRAD,shipped,patient,0,-1,0,none,15,0,0,,36819,36819,36819,,0,,25891,8,MEND154;MEND156;MEND157;MEND158;MEND159;MEND160;MEND161;MEND162,,,,,,cal_fraction_zero,none
resnet50,PRAD,shipped,patient,1,-1,0,none,8,0,0,,25891,25891,25891,,0,,36819,15,MEND139;MEND140;MEND141;MEND142;MEND143;MEND144;MEND145;MEND146;MEND147;MEND148;MEND149;MEND150;MEND151;MEND152;MEND153,,,,,,cal_fraction_zero,none
resnet50,READ,shipped,patient,0,-1,0,none,2,0,0,,3819,3819,3819,,0,,4588,2,ZEN48;ZEN49,,,,,,cal_fraction_zero,none
resnet50,READ,shipped,patient,1,-1,0,none,2,0,0,,4588,4588,4588,,0,,3819,2,ZEN36;ZEN40,,,,,,cal_fraction_zero,none
resnet50,SKCM,shipped,patient,0,-1,0,none,1,0,0,,1741,1741,1741,,0,,1293,1,TENX117,,,,,,cal_fraction_zero,none
resnet50,SKCM,shipped,patient,1,-1,0,none,1,0,0,,1293,1293,1293,,0,,1741,1,TENX115,,,,,,cal_fraction_zero,none
