task,label_set,encoder,donor_set,arm,design,fold,repeat,draw,method,alpha,score,coverage,width_mean,width_median,K,n_T,n_C,finite,coverage_sd_over_reps,width_sd_over_reps,interval_score,miss_above,miss_below,n_eff,n_eff_frac,n_infinite,n_spot_gene,frac_infinite,n_test_points_infinite,n_reps,calibration_unit,n_units_in_pool,n_cal_units,n_C_donors,n_T_donors,n_T_spots_natural,n_T_spots_matched,n_match_target,n_E,n_E_slides,n_cells,n_slides,pearson_mean,pearson_n_genes,cal_donors,difference_list,arm_difference_list,width_mean_spotgene,_source
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,0,pooled,0.1,abs,0.6101660516605166,1.7590711486405874,1.652150773202615,22105.0,35996,22105,True,,,4.176547162796775,0.0141881918819188,0.3756457564575645,22105.0,1.0,0,54200,0.0,0,1,donor,23,6,6,17,51031,35996,35996,1084,1,50,1,0.0780109675265842,50,INT14;INT16;INT19;INT2;INT20;INT8,"the pooled spot-level conformal quantile of C's scores; sees no unit structure at all, so a donor with many spots carries more mass than one with few. This is A1's interval.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",1.7590711486405874,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,0,hcp,0.1,abs,1.0,,,6.0,35996,22105,False,,,,0.0,0.0,19568.8230375251,0.885266819159697,54200,54200,1.0,1084,1,donor,23,6,6,17,51031,35996,35996,1084,1,50,1,0.0780109675265842,50,INT14;INT16;INT19;INT2;INT20;INT8,"A3's W3 weighted quantile with w_i = 1/N_k inside calibration donor k and test weight 1, so each calibration donor and the test point carries 1/(K+1) of the mass; sees which donor each calibration spot belongs to and how many spots that donor has, and no features.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,0,dwr,0.1,abs,1.0,,,6.0,35996,22105,False,0.0,,,0.0,0.0,,,10840000,10840000,1.0,0,200,donor,23,6,6,17,51031,35996,35996,1084,1,50,1,0.0780109675265842,50,INT14;INT16;INT19;INT2;INT20;INT8,"one calibration spot per donor, drawn at random, and the ordinary conformal quantile of those K exchangeable scores; sees the donor partition of C and discards all but K of its spots, so it buys exchangeability at the cost of calibration size.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,1,pooled,0.1,abs,0.9435055350553506,2.180117270997726,2.119799251998795,22542.0,35996,22542,True,,,2.491002737398803,0.0512730627306273,0.0052214022140221,22542.0,1.0,0,54200,0.0,0,1,donor,23,6,6,17,50594,35996,35996,1084,1,50,1,0.0641927764220519,50,INT13;INT14;INT15;INT18;INT2;INT5,"the pooled spot-level conformal quantile of C's scores; sees no unit structure at all, so a donor with many spots carries more mass than one with few. This is A1's interval.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",2.1801172709977266,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,1,hcp,0.1,abs,1.0,,,6.0,35996,22542,False,,,,0.0,0.0,17263.970566909018,0.7658579791903566,54200,54200,1.0,1084,1,donor,23,6,6,17,50594,35996,35996,1084,1,50,1,0.0641927764220519,50,INT13;INT14;INT15;INT18;INT2;INT5,"A3's W3 weighted quantile with w_i = 1/N_k inside calibration donor k and test weight 1, so each calibration donor and the test point carries 1/(K+1) of the mass; sees which donor each calibration spot belongs to and how many spots that donor has, and no features.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,1,dwr,0.1,abs,1.0,,,6.0,35996,22542,False,0.0,,,0.0,0.0,,,10840000,10840000,1.0,0,200,donor,23,6,6,17,50594,35996,35996,1084,1,50,1,0.0641927764220519,50,INT13;INT14;INT15;INT18;INT2;INT5,"one calibration spot per donor, drawn at random, and the ordinary conformal quantile of those K exchangeable scores; sees the donor partition of C and discards all but K of its spots, so it buys exchangeability at the cost of calibration size.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,2,pooled,0.1,abs,0.7189667896678968,2.0969624880382245,1.9837306302375664,17537.0,35996,17537,True,,,3.593594822614877,0.0157195571955719,0.2653136531365314,17537.0,1.0,0,54200,0.0,0,1,donor,23,6,6,17,55599,35996,35996,1084,1,50,1,0.0535097001178029,50,INT11;INT17;INT2;INT22;INT23;INT4,"the pooled spot-level conformal quantile of C's scores; sees no unit structure at all, so a donor with many spots carries more mass than one with few. This is A1's interval.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",2.0969624880382245,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,2,hcp,0.1,abs,1.0,,,6.0,35996,17537,False,,,,0.0,0.0,13984.79946398172,0.7974453705868575,54200,54200,1.0,1084,1,donor,23,6,6,17,55599,35996,35996,1084,1,50,1,0.0535097001178029,50,INT11;INT17;INT2;INT22;INT23;INT4,"A3's W3 weighted quantile with w_i = 1/N_k inside calibration donor k and test weight 1, so each calibration donor and the test point carries 1/(K+1) of the mass; sees which donor each calibration spot belongs to and how many spots that donor has, and no features.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,2,dwr,0.1,abs,1.0,,,6.0,35996,17537,False,0.0,,,0.0,0.0,,,10840000,10840000,1.0,0,200,donor,23,6,6,17,55599,35996,35996,1084,1,50,1,0.0535097001178029,50,INT11;INT17;INT2;INT22;INT23;INT4,"one calibration spot per donor, drawn at random, and the ordinary conformal quantile of those K exchangeable scores; sees the donor partition of C and discards all but K of its spots, so it buys exchangeability at the cost of calibration size.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT10,-1,0,pooled,0.1,abs,0.8283610690872416,2.048432552404658,1.939971147229368,20751.0,35996,20751,True,,,3.375207649164271,0.1580534543620776,0.0135854765506807,20751.0,1.0,0,99150,0.0,0,1,donor,23,6,6,17,51486,35996,35996,1983,1,50,1,0.5246211987210802,50,INT13;INT20;INT22;INT24;INT3;INT5,"the pooled spot-level conformal quantile of C's scores; sees no unit structure at all, so a donor with many spots carries more mass than one with few. This is A1's interval.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",2.0484325524046585,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT10,-1,0,hcp,0.1,abs,1.0,,,6.0,35996,20751,False,,,,0.0,0.0,15932.78178067123,0.767807902302117,99150,99150,1.0,1983,1,donor,23,6,6,17,51486,35996,35996,1983,1,50,1,0.5246211987210802,50,INT13;INT20;INT22;INT24;INT3;INT5,"A3's W3 weighted quantile with w_i = 1/N_k inside calibration donor k and test weight 1, so each calibration donor and the test point carries 1/(K+1) of the mass; sees which donor each calibration spot belongs to and how many spots that donor has, and no features.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT10,-1,0,dwr,0.1,abs,1.0,,,6.0,35996,20751,False,0.0,,,0.0,0.0,,,19830000,19830000,1.0,0,200,donor,23,6,6,17,51486,35996,35996,1983,1,50,1,0.5246211987210802,50,INT13;INT20;INT22;INT24;INT3;INT5,"one calibration spot per donor, drawn at random, and the ordinary conformal quantile of those K exchangeable scores; sees the donor partition of C and discards all but K of its spots, so it buys exchangeability at the cost of calibration size.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT10,-1,1,pooled,0.1,abs,0.7913262733232476,2.14520982917163,2.0464398805617567,19589.0,35996,19589,True,,,3.997209110308437,0.2031971759959657,0.0054765506807866,19589.0,1.0,0,99150,0.0,0,1,donor,23,6,6,17,52648,35996,35996,1983,1,50,1,0.4523501392487432,50,INT11;INT14;INT23;INT24;INT7;INT8,"the pooled spot-level conformal quantile of C's scores; sees no unit structure at all, so a donor with many spots carries more mass than one with few. This is A1's interval.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",2.14520982917163,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT10,-1,1,hcp,0.1,abs,1.0,,,6.0,35996,19589,False,,,,0.0,0.0,15786.169712298166,0.8058690955280089,99150,99150,1.0,1983,1,donor,23,6,6,17,52648,35996,35996,1983,1,50,1,0.4523501392487432,50,INT11;INT14;INT23;INT24;INT7;INT8,"A3's W3 weighted quantile with w_i = 1/N_k inside calibration donor k and test weight 1, so each calibration donor and the test point carries 1/(K+1) of the mass; sees which donor each calibration spot belongs to and how many spots that donor has, and no features.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT10,-1,1,dwr,0.1,abs,1.0,,,6.0,35996,19589,False,0.0,,,0.0,0.0,,,19830000,19830000,1.0,0,200,donor,23,6,6,17,52648,35996,35996,1983,1,50,1,0.4523501392487432,50,INT11;INT14;INT23;INT24;INT7;INT8,"one calibration spot per donor, drawn at random, and the ordinary conformal quantile of those K exchangeable scores; sees the donor partition of C and discards all but K of its spots, so it buys exchangeability at the cost of calibration size.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT10,-1,2,pooled,0.1,abs,0.815844679778114,2.054699667328561,2.0704065095089783,15682.0,35996,15682,True,,,3.5817145904376755,0.1769843671205244,0.0071709531013615,15682.0,1.0,0,99150,0.0,0,1,donor,23,6,6,17,56555,35996,35996,1983,1,50,1,0.5248794293297889,50,INT1;INT12;INT14;INT15;INT8;INT9,"the pooled spot-level conformal quantile of C's scores; sees no unit structure at all, so a donor with many spots carries more mass than one with few. This is A1's interval.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",2.054699667328561,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT10,-1,2,hcp,0.1,abs,1.0,,,6.0,35996,15682,False,,,,0.0,0.0,11479.494358699132,0.7320172400649874,99150,99150,1.0,1983,1,donor,23,6,6,17,56555,35996,35996,1983,1,50,1,0.5248794293297889,50,INT1;INT12;INT14;INT15;INT8;INT9,"A3's W3 weighted quantile with w_i = 1/N_k inside calibration donor k and test weight 1, so each calibration donor and the test point carries 1/(K+1) of the mass; sees which donor each calibration spot belongs to and how many spots that donor has, and no features.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT10,-1,2,dwr,0.1,abs,1.0,,,6.0,35996,15682,False,0.0,,,0.0,0.0,,,19830000,19830000,1.0,0,200,donor,23,6,6,17,56555,35996,35996,1983,1,50,1,0.5248794293297889,50,INT1;INT12;INT14;INT15;INT8;INT9,"one calibration spot per donor, drawn at random, and the ordinary conformal quantile of those K exchangeable scores; sees the donor partition of C and discards all but K of its spots, so it buys exchangeability at the cost of calibration size.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT11,-1,0,pooled,0.1,abs,0.7250034746351633,1.8760078150434305,1.7343530812417671,18765.0,35996,18765,True,,,3.839417092454114,0.0582765809589993,0.2167199444058374,18765.0,1.0,0,71950,0.0,0,1,donor,23,6,6,17,54016,35996,35996,1439,1,50,1,0.0415439042581576,50,INT12;INT15;INT20;INT22;INT3;INT6,"the pooled spot-level conformal quantile of C's scores; sees no unit structure at all, so a donor with many spots carries more mass than one with few. This is A1's interval.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",1.87600781504343,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT11,-1,0,hcp,0.1,abs,1.0,,,6.0,35996,18765,False,,,,0.0,0.0,14677.46994970487,0.7821726591902408,71950,71950,1.0,1439,1,donor,23,6,6,17,54016,35996,35996,1439,1,50,1,0.0415439042581576,50,INT12;INT15;INT20;INT22;INT3;INT6,"A3's W3 weighted quantile with w_i = 1/N_k inside calibration donor k and test weight 1, so each calibration donor and the test point carries 1/(K+1) of the mass; sees which donor each calibration spot belongs to and how many spots that donor has, and no features.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT11,-1,0,dwr,0.1,abs,1.0,,,6.0,35996,18765,False,0.0,,,0.0,0.0,,,14390000,14390000,1.0,0,200,donor,23,6,6,17,54016,35996,35996,1439,1,50,1,0.0415439042581576,50,INT12;INT15;INT20;INT22;INT3;INT6,"one calibration spot per donor, drawn at random, and the ordinary conformal quantile of those K exchangeable scores; sees the donor partition of C and discards all but K of its spots, so it buys exchangeability at the cost of calibration size.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",,a4b_hcp_K10__hoptimus0.csv
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT11,-1,1,pooled,0.1,abs,0.9168728283530228,2.313434611481055,2.267982225566558,19774.0,35996,19774,True,,,2.769648381677718,0.0539680333564975,0.0291591382904795,19774.0,1.0,0,71950,0.0,0,1,donor,23,6,6,17,53007,35996,35996,1439,1,50,1,0.1128379994323426,50,INT14;INT19;INT23;INT5;INT7;INT8,"the pooled spot-level conformal quantile of C's scores; sees no unit structure at all, so a donor with many spots carries more mass than one with few. This is A1's interval.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",2.3134346114810547,a4b_hcp_K10__hoptimus0.csv
