task,sample_id,n_spots,n_patch_spots,n_nuclei,factor,patch_px,nucleus_spot_pairs,spots_with_nuclei,mean_nuclei_per_spot,classes,pairs_per_nucleus,patch_frac,nuclei_per_patch_spot
HCC,NCBI642,1987,1941,66806,1.1027638427806936,247.01910078287537,95308,1955,47.96577755410166,connective|epithelial|inflammatory|neoplastic,1.427,0.977,49.1
HCC,NCBI643,2261,2255,27940,1.10142750511269,246.71976114524256,38551,2165,17.050420168067227,connective|epithelial|inflammatory|neoplastic,1.38,0.997,17.1
LUNG,TENX118,3115,1944,137105,1.8257781328448397,408.97430175724406,163534,1929,52.49887640449438,connective|dead|epithelial|inflammatory|neoplastic,1.193,0.624,84.12
LUNG,TENX141,4390,3262,127287,1.8271976312712048,409.29226940474985,152016,3247,34.627790432801824,connective|dead|epithelial|inflammatory|neoplastic,1.194,0.743,46.6
SKCM,TENX115,3886,1741,79535,1.8268858395516427,409.222428059568,99783,1646,25.67756047349459,connective|dead|epithelial|inflammatory|neoplastic,1.255,0.448,57.31
SKCM,TENX117,1830,1293,81297,3.653561603019798,818.3977990764347,100740,1244,55.049180327868854,connective|epithelial|inflammatory|neoplastic,1.239,0.707,77.91
PAAD,TENX116,3090,2010,165017,3.6526423696043087,818.1918907913652,206931,2174,66.96796116504855,connective|dead|epithelial|inflammatory|neoplastic,1.254,0.65,102.95
PAAD,TENX126,2190,1951,125329,1.8255493042488564,408.92304415174385,140476,1950,64.14429223744293,connective|dead|epithelial|inflammatory|neoplastic,1.121,0.891,72.0
PAAD,TENX140,4513,3610,195759,1.8263658593190983,409.105952487478,232685,3603,51.55883004653224,connective|dead|epithelial|inflammatory|neoplastic,1.189,0.8,64.46
READ,ZEN36,1691,1691,120280,1.0884630054677162,243.81571322476844,162267,1691,95.9591957421644,connective|dead|epithelial|inflammatory|neoplastic,1.349,1.0,95.96
READ,ZEN40,2128,2128,62041,1.0873342915817967,243.56288131432245,82035,2112,38.55028195488722,connective|epithelial|inflammatory|neoplastic,1.322,1.0,38.55
READ,ZEN48,2385,2385,180171,1.0890169577170656,243.9397985286227,207056,2382,86.81593291404612,connective|epithelial|inflammatory|neoplastic,1.149,1.0,86.82
READ,ZEN49,2203,2203,155359,1.0878169268266715,243.6709916091744,184156,2203,83.59328188833409,connective|dead|epithelial|inflammatory|neoplastic,1.185,1.0,83.59
COAD,TENX111,6138,5079,438305,1.8261186832124816,409.05058503959594,497707,5231,81.0861844248941,connective|dead|epithelial|inflammatory|neoplastic,1.136,0.827,97.99
COAD,TENX147,3997,3417,1446561,2.002385161842496,448.5342762527191,317523,3512,79.44033024768576,connective|dead|epithelial|inflammatory|neoplastic,0.22,0.855,92.92
COAD,TENX148,4379,3535,969418,1.8264149169750052,409.1169414024011,382394,3654,87.32450331125828,connective|dead|epithelial|inflammatory|neoplastic,0.394,0.807,108.17
COAD,TENX149,4009,3620,1109237,1.824611829502118,408.7130498084744,348602,3693,86.95485158393615,connective|dead|epithelial|inflammatory|neoplastic,0.314,0.903,96.3
CCRCC,INT1,1084,1084,37483,1.0943478476792592,245.1339178801541,44974,1076,41.488929889298895,connective|epithelial|inflammatory|neoplastic,1.2,1.0,41.49
CCRCC,INT10,1983,1983,75114,1.091667938930556,244.5336183204446,102395,1980,51.63640948058497,connective|epithelial|inflammatory|neoplastic,1.363,1.0,51.64
CCRCC,INT11,1439,1439,42314,1.095,245.28,60534,1422,42.06671299513551,connective|epithelial|inflammatory|neoplastic,1.431,1.0,42.07
CCRCC,INT12,1451,1451,76974,1.09250411898537,244.72092265272292,96314,1450,66.3776705720193,connective|epithelial|inflammatory|neoplastic,1.251,1.0,66.38
CCRCC,INT13,4359,4359,128664,1.0930687043262155,244.8473897690723,147509,4348,33.8401009405827,connective|dead|epithelial|inflammatory|neoplastic,1.146,1.0,33.84
CCRCC,INT14,4562,4562,273124,1.0927247896279344,244.7703528766573,319792,4553,70.09907935116178,connective|dead|epithelial|inflammatory|neoplastic,1.171,1.0,70.1
CCRCC,INT15,4940,4940,156803,1.092055062635518,244.62033403035605,154078,4939,31.18987854251012,connective|epithelial|inflammatory|neoplastic,0.983,1.0,31.19
CCRCC,INT16,3206,3206,49151,1.09256553537239,244.73467992341537,62184,3168,19.39613225202745,connective|epithelial|inflammatory|neoplastic,1.265,1.0,19.4
CCRCC,INT17,3585,3585,197999,1.0928237693025808,244.7925243237781,219584,3585,61.25076708507671,connective|dead|epithelial|inflammatory|neoplastic,1.109,1.0,61.25
CCRCC,INT18,4915,4915,162727,1.0914693906667348,244.4891435093486,188908,4912,38.43499491353001,connective|dead|epithelial|inflammatory|neoplastic,1.161,1.0,38.43
CCRCC,INT19,4948,4948,201766,1.0934826453545123,244.94011255941075,229322,4902,46.3464025869038,connective|epithelial|inflammatory|neoplastic,1.137,1.0,46.35
CCRCC,INT2,2580,2580,94534,1.094,245.056,133919,2572,51.90658914728682,connective|epithelial|inflammatory|neoplastic,1.417,1.0,51.91
CCRCC,INT20,4860,4860,23989,1.0938296796023883,245.017848230935,26856,3186,5.525925925925926,connective|dead|epithelial|inflammatory|neoplastic,1.12,1.0,5.53
CCRCC,INT21,4975,4975,170183,1.0932865101795142,244.8961782802112,174892,4957,35.15417085427136,connective|dead|epithelial|inflammatory|neoplastic,1.028,1.0,35.15
CCRCC,INT22,3829,3829,16805,1.0928858644125676,244.80643362841516,14374,2379,3.7539827631235303,connective|epithelial|inflammatory|neoplastic,0.855,1.0,3.75
CCRCC,INT23,4755,4755,3687,1.0928170477799737,244.79101870271404,4457,1673,0.93732912723449,connective|dead|epithelial|inflammatory|neoplastic,1.209,1.0,0.94
CCRCC,INT24,4510,4510,219747,1.0932132301308992,244.8797635493214,200793,4462,44.521729490022175,connective|dead|epithelial|inflammatory|neoplastic,0.914,1.0,44.52
CCRCC,INT3,2007,2007,73671,1.0925,244.72,103573,1993,51.60587942202292,connective|dead|epithelial|inflammatory|neoplastic,1.406,1.0,51.61
CCRCC,INT4,1349,1349,44373,1.090005096828043,244.16114168948164,52235,1296,38.721275018532246,connective|dead|epithelial|inflammatory|neoplastic,1.177,1.0,38.72
CCRCC,INT5,1186,1186,34706,1.0950028538775594,245.28063926857328,48411,1168,40.81871838111299,connective|epithelial|inflammatory|neoplastic,1.395,1.0,40.82
CCRCC,INT6,1678,1678,68689,1.0937500793650765,245.00001777777717,92689,1675,55.23778307508939,connective|dead|epithelial|inflammatory|neoplastic,1.349,1.0,55.24
CCRCC,INT7,2374,2374,73790,1.0925007151027408,244.72016018301397,101630,2372,42.80960404380792,connective|epithelial|inflammatory|neoplastic,1.377,1.0,42.81
CCRCC,INT8,1949,1949,43637,1.094,245.056,57828,1929,29.67060030785018,connective|dead|epithelial|inflammatory|neoplastic,1.325,1.0,29.67
CCRCC,INT9,1696,1696,56530,1.0927790487480606,244.7825069195656,74638,1676,44.008254716981135,connective|epithelial|inflammatory|neoplastic,1.32,1.0,44.01
IDC,NCBI783,3869,3005,119826,1.825084913321136,408.8190205839345,141783,3290,36.64590333419488,connective|dead|epithelial|inflammatory|neoplastic,1.183,0.777,47.18
