n_spots,n_slides,n_donors,df_spot,df_slide,df_donor,var_spot,var_slide_raw,var_slide,c1,var_donor_raw,var_donor,c2,c3,task,gene,total_var,frac_spot,frac_slide,frac_donor,donor_label_status,grouping
74220,24,24,74196,0,23,0.19781903865229225,,,,0.05287328209437134,0.05287328209437134,3062.76229540848,3062.76229540848,CCRCC,AKAP8,0.2506923207466636,0.7890909384982626,,0.21090906150173735,verified,donor_id_from_R5b_audit
74220,24,24,74196,0,23,0.18281119061748488,,,,0.09764459097279782,0.09764459097279782,3062.76229540848,3062.76229540848,CCRCC,BLVRB,0.2804557815902827,0.6518360562256241,,0.3481639437743758,verified,donor_id_from_R5b_audit
74220,24,24,74196,0,23,0.23500548405196806,,,,0.2936678213352532,0.2936678213352532,3062.76229540848,3062.76229540848,CCRCC,BTF3,0.5286733053872212,0.4445192932142483,,0.5554807067857517,verified,donor_id_from_R5b_audit
74220,24,24,74196,0,23,0.23759383047755264,,,,0.14767377597650844,0.14767377597650844,3062.76229540848,3062.76229540848,CCRCC,CD109,0.3852676064540611,0.6166981767928186,,0.3833018232071813,verified,donor_id_from_R5b_audit
74220,24,24,74196,0,23,0.3267135111759088,,,,0.20860735129435215,0.20860735129435215,3062.76229540848,3062.76229540848,CCRCC,CD14,0.535320862470261,0.6103134289746813,,0.38968657102531856,verified,donor_id_from_R5b_audit
74220,24,24,74196,0,23,0.2466487989065973,,,,0.10044696394478865,0.10044696394478865,3062.76229540848,3062.76229540848,CCRCC,CHST15,0.34709576285138594,0.710607346169776,,0.289392653830224,verified,donor_id_from_R5b_audit
74220,24,24,74196,0,23,0.3181430658348239,,,,0.22713830285615721,0.22713830285615721,3062.76229540848,3062.76229540848,CCRCC,CIB1,0.5452813686909811,0.5834475265468316,,0.41655247345316837,verified,donor_id_from_R5b_audit
74220,24,24,74196,0,23,0.2664102522113588,,,,0.2370071280540858,0.2370071280540858,3062.76229540848,3062.76229540848,CCRCC,CKB,0.5034173802654446,0.5292035250568515,,0.4707964749431484,verified,donor_id_from_R5b_audit
74220,24,24,74196,0,23,0.28408832987746296,,,,0.1925057933965935,0.1925057933965935,3062.76229540848,3062.76229540848,CCRCC,CPD,0.4765941232740565,0.5960802200536227,,0.40391977994637723,verified,donor_id_from_R5b_audit
74220,24,24,74196,0,23,0.4272337213382989,,,,0.8402848272524811,0.8402848272524811,3062.76229540848,3062.76229540848,CCRCC,CPE,1.26751854859078,0.33706309214432795,,0.662936907855672,verified,donor_id_from_R5b_audit
