id,hest_version_added,organ,species,st_technology,oncotree_code,disease_state,tissue,preservation_method,dataset_title,subseries,study_link,download_page_link1,download_source_prefix,license,data_publication_date,patient,patient_label,patient_label_status,donor_key_provisional,lab_provisional,lab_basis,pixel_size_um_estimated,pixel_size_um_embedded,px_pct_diff,resolution_uncertain,magnification,spots_under_tissue,nb_genes,inter_spot_dist,spot_diameter,fullres_px_width,fullres_px_height,in_benchmark,benchmark_task,duplicate_of,is_duplicate_of_other_id,nfiles_patches,nfiles_st,nfiles_cellvit_seg,nfiles_metadata,bytes_patches,bytes_st,bytes_cellvit_seg,bytes_metadata,bytes_four_components,bytes_wsis,bytes_transcripts,bytes_other_components,bytes_all_components
INT1,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_c_57,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 24,Patient 24,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 24,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.456893117723337,0.45766590389016,0.16913937567580428,False,40x,1084,36601,100.0,55.0,19200,19968,True,CCRCC,,False,1,1,2,1,159814088,26506119,16712087,1007,203033301,305495215,0,306509444,509542745
INT10,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_a_15,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 15,Patient 15,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 15,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.458014733390284,0.45766590389016,-0.07616119628770714,False,40x,1983,36601,100.0,55.0,21120,19200,True,CCRCC,,False,1,1,2,1,305221440,83533555,39091834,1008,427847837,425171047,0,426457802,854305639
INT11,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_a_3,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 14,Patient 14,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 14,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.456621005,0.45766590389016,0.22883285672764048,False,40x,1439,36601,100.0,55.0,19200,19712,True,CCRCC,,False,1,1,2,1,216803824,49982411,22528119,1005,289315359,329695177,0,330751254,620066613
INT12,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_a_1,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 13,Patient 13,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 13,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.457664178387135,0.45766590389016,0.00037702383241875706,False,40x,1451,36601,100.0,55.0,19200,18944,True,CCRCC,,False,1,1,2,1,224547528,60283571,42015459,1008,326847566,350804477,0,351869834,678717400
INT13,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_51,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 12,Patient 12,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 12,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.457427788409886,0.45766590389016,0.05205531590061664,False,40x,4359,17943,100.0,55.0,17110,16934,True,CCRCC,,False,1,1,2,1,675015712,139003469,60973504,1006,874993691,936830333,0,939004922,1813998613
INT14,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_45,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 11,Patient 11,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 11,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.457571755254355,0.45766590389016,0.02057570965075084,False,40x,4562,17943,100.0,55.0,17040,16863,True,CCRCC,,False,1,1,2,1,705979624,134840837,117334131,1007,958155599,955849663,0,958296952,1916452551
INT15,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_39,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 10,Patient 10,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 10,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.457852371,0.45766590389016,-0.040726470288387766,False,40x,4940,17943,100.0,55.0,17303,16404,True,CCRCC,,False,1,1,2,1,764979888,146078765,83401882,1006,994461541,1050069431,0,1052537098,2046998639
INT16,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_36,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 9,Patient 9,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 9,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.457638451710432,0.45766590389016,0.005998661088330889,False,40x,3206,17943,100.0,55.0,17158,16884,True,CCRCC,,False,1,1,2,1,495842864,106996069,22746421,1005,625586359,707733397,0,709479082,1335065441
INT17,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_34,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 8,Patient 8,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 8,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.457530311881018,0.45766590389016,0.02963563410357033,False,40x,3585,17943,100.0,55.0,17482,16885,True,CCRCC,,False,1,1,2,1,554986880,77742597,86033424,1006,718763907,785149801,0,787162282,1505926189
INT18,v1_0_0,Kidney,Homo sapiens,Visium,SCCRCC,Cancer,Kidney,,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_21,https://pubmed.ncbi.nlm.nih.gov/35231421/,None (internal),INT,Internal,3/3/22,Patient 7,Patient 7,labelled,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 7,Sorbonne Université,pmid-in-link last-author affiliation (pmid=35231421),0.458098050458905,0.45766590389016,-0.0943349504133689,False,40x,4915,17943,100.0,55.0,17115,17071,True,CCRCC,,False,1,1,2,1,760958832,183946021,87708523,1006,1032614382,945905569,0,948300243,1980914625
