study_link,hest_dataset_title,pmid,doi,resolved_by,pub_title,journal,year,first_author,first_affil,last_author,last_affil
None (internal),Prostate ST Internal,,,unresolved,,,,,,,
https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572,Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,,,unresolved,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/PMC12803277/,Fishing with Two Lines: A Hybrid Approach to Spatial Transcriptomic Discovery,41542551,,pmcid-in-link,Fishing with Two Lines: A Hybrid Approach to Spatial Transcriptomic Discovery.,bioRxiv : the preprint server for biology,2026,Arianna L Williams-Katek,"Division of Bioinnovation and Genome Sciences, Translational Genomics Research Institute (TGen), Phoenix, Arizona, United States.",Nicholas E Banovich,"Division of Bioinnovation and Genome Sciences, Translational Genomics Research Institute (TGen), Phoenix, Arizona, United States."
https://pubmed.ncbi.nlm.nih.gov/27365449/,Visualization and analysis of gene expression in tissue sections by spatial transcriptomics,27365449,,pmid-in-link,Visualization and analysis of gene expression in tissue sections by spatial transcriptomics.,"Science (New York, N.Y.)",2016,Patrik L Ståhl,"Department of Cell and Molecular Biology, Karolinska Institute, SE-171 77 Stockholm, Sweden. Science for Life Laboratory, Division of Gene Technology, KTH Royal Institute of Technology, SE-106 91 Stockholm, Sweden.",Jonas Frisén,"Department of Cell and Molecular Biology, Karolinska Institute, SE-171 77 Stockholm, Sweden."
https://pubmed.ncbi.nlm.nih.gov/34650042/,Spatial deconvolution of HER2-positive breast cancer delineates tumor-associated cell type interactions,34650042,,pmid-in-link,Spatial deconvolution of HER2-positive breast cancer delineates tumor-associated cell type interactions.,Nature communications,2021,Alma Andersson,"Science for Life Laboratory, Division of Gene Technology, KTH Royal Institute of Technology, Stockholm, Sweden.",Joakim Lundeberg,"Science for Life Laboratory, Division of Gene Technology, KTH Royal Institute of Technology, Stockholm, Sweden. joakim.lundeberg@scilifelab.se."
https://pubmed.ncbi.nlm.nih.gov/34845373/,"Human ileum, Visium",34845373,,pmid-in-link,Super-resolved spatial transcriptomics by deep data fusion.,Nature biotechnology,2022,Ludvig Bergenstråhle,"SciLifeLab, Department of Gene Technology, KTH Royal Institute of Technology, Stockholm, Sweden.",Jonas Maaskola,"SciLifeLab, Department of Gene Technology, KTH Royal Institute of Technology, Stockholm, Sweden."
https://pubmed.ncbi.nlm.nih.gov/35231421/,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,35231421,,pmid-in-link,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer.,Immunity,2022,Maxime Meylan,"Centre de Recherche des Cordeliers, Sorbonne Université, INSERM, Université de Paris, Equipe labellisée Ligue Contre le Cancer, 75006 Paris, France.",Wolf Herman Fridman,"Centre de Recherche des Cordeliers, Sorbonne Université, INSERM, Université de Paris, Equipe labellisée Ligue Contre le Cancer, 75006 Paris, France. Electronic address: herve.fridman@crc.jussieu.fr."
https://pubmed.ncbi.nlm.nih.gov/36776149/,Genome-wide Spatial Expression Profiling in Formalin-fixed Tissues,36776149,,pmid-in-link,Genome-wide spatial expression profiling in formalin-fixed tissues.,Cell genomics,2021,Eva Gracia Villacampa,"Department of Gene Technology, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH Royal Institute of Technology, Science for Life Laboratory, 17165 Stockholm, Sweden.",Joakim Lundeberg,"Department of Gene Technology, School of Engineering Sciences in Chemistry, Biotechnology and Health, KTH Royal Institute of Technology, Science for Life Laboratory, 17165 Stockholm, Sweden."
https://pubmed.ncbi.nlm.nih.gov/37423216/,SARS-CoV-2 Niches in Human Placenta Revealed by Spatial Transcriptomics,37423216,,pmid-in-link,SARS-CoV-2 niches in human placenta revealed by spatial transcriptomics.,"Med (New York, N.Y.)",2023,Enrico R Barrozo,"Department of Obstetrics and Gynecology, Division of Maternal-Fetal Medicine, Baylor College of Medicine and Texas Children's Hospital, Houston, TX, USA.",Kjersti M Aagaard,"Department of Obstetrics and Gynecology, Division of Maternal-Fetal Medicine, Baylor College of Medicine and Texas Children's Hospital, Houston, TX, USA. Electronic address: aagaardt@bcm.edu."
https://pubmed.ncbi.nlm.nih.gov/37591239/,Spatial transcriptomics of the mouse brain across three age groups,37591239,,pmid-in-link,Atlas of the aging mouse brain reveals white matter as vulnerable foci.,Cell,2023,Oliver Hahn,"Department of Neurology and Neurological Sciences, Stanford University School of Medicine, Stanford, CA, USA; Wu Tsai Neurosciences Institute, Stanford University School of Medicine, Stanford, CA, USA.",Tony Wyss-Coray,"Department of Neurology and Neurological Sciences, Stanford University School of Medicine, Stanford, CA, USA; Wu Tsai Neurosciences Institute, Stanford University School of Medicine, Stanford, CA, USA; Paul F. Glenn Center for the Biology of Aging, Stanford University, Stanford, CA, USA; Stanford University, The Phil and Penny Knight Initiative for Brain Resilience, Stanford, CA, USA. Electronic address: twc@stanford.edu."
