organ,st_technology,n_samples,n_labs_resolved,n_labs_resolved_ge3_samples,n_labs_resolved_ge3_donors,n_donors,n_missing_patient_label,n_resolution_uncertain,n_in_benchmark,bytes_four_components,labs
Kidney,Visium,58,4,4,2,46,11,33,24,23338759078,"Sorbonne Université (n=24, donors=24); Washington University School of Medicine (n=23, donors=22); Indiana University School of Medicine (n=7, donors=0); KTH Royal Institute of Technology (n=3, donors=0); 10x Genomics Inc. (vendor product page) (n=1, donors=0)"
Breast,Spatial Transcriptomics,108,2,2,2,31,4,108,0,17262091209,"Karolinska Institute (n=72, donors=23); KTH Royal Institute of Technology (n=36, donors=8)"
Lung,Xenium,24,2,1,1,21,2,0,2,9358042424,"Translational Genomics Research Institute (n=20, donors=19); 10x Genomics Inc. (vendor product page) (n=2, donors=2); Translational Genomics Research Institute (TGen) (n=2, donors=0)"
Lymph node,Visium,5,1,1,1,4,1,5,4,5085689128,"Peking University Health Science Center (n=4, donors=4); 10x Genomics Inc. (vendor product page) (n=1, donors=0)"
Skin,Spatial Transcriptomics,12,1,1,1,4,0,12,0,2672407693,"Stanford University School of Medicine (n=12, donors=4)"
Brain,Visium,42,2,2,0,11,28,39,0,26425824500,"unresolved: https://academic.oup.com/neuro-oncology/article/24/Supplement_1/i45/6600572 (n=14, donors=11); Lieber Institute for Brain Development (n=12, donors=0); KTH Royal Institute of Technology (n=6, donors=0); 10x Genomics Inc. (vendor product page) (n=5, donors=0); unresolved: https://www.nature.com/articles/s41587-023-01937-y (n=5, donors=0)"
Liver,Visium,14,2,2,0,2,12,0,2,7441587140,"University of Edinburgh (n=8, donors=0); University Health Network (n=4, donors=0); unresolved: https://www.biorxiv.org/content/10.1101/2022.11.09.515839v1.full (n=2, donors=2)"
Lung,Visium,33,2,2,0,0,33,31,0,12021581600,"Wellcome Sanger Institute (n=20, donors=0); KTH Royal Institute of Technology (n=11, donors=0); 10x Genomics Inc. (vendor product page) (n=2, donors=0)"
Bowel,Visium,73,1,1,0,9,54,53,4,43400027719,"unresolved: https://www.cell.com/cell/fulltext/S0092-8674(23)01222-9?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867423012229%3Fshowall%3Dtrue#secsectitle0020 (n=39, donors=0); unresolved: https://www.biorxiv.org/content/10.1101/2023.01.23.525135v2 (n=14, donors=7); KTH Royal Institute of Technology (n=9, donors=1); 10x Genomics Inc. (vendor product page) (n=8, donors=0); unresolved: https://www.cell.com/cell/fulltext/S0092-8674(21)01381-7?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867421013817%3Fshowall%3Dtrue (n=2, donors=0); 10x Genomics Inc. (n=1, donors=1)"
Prostate,Visium,35,1,1,0,2,12,35,23,21824403190,"KTH Royal Institute of Technology (n=27, donors=2); unresolved: None (internal) (n=5, donors=0); 10x Genomics Inc. (vendor product page) (n=3, donors=0)"
Skin,Visium,63,1,1,0,1,59,63,0,11022374161,"unresolved: https://www.nature.com/articles/s41467-022-35319-w (n=59, donors=0); Stanford University School of Medicine (n=4, donors=1)"
Cervix,Visium,5,1,1,0,0,5,5,0,1533514347,"Fudan University (n=4, donors=0); 10x Genomics Inc. (vendor product page) (n=1, donors=0)"
Eye,Visium,6,2,1,0,0,6,6,0,1449059113,"the University of Iowa Carver College of Medicine (n=5, donors=0); University of Miami (n=1, donors=0)"
Heart,Visium,42,1,1,0,0,42,42,0,18471748719,"Wellcome Sanger Institute (n=41, donors=0); 10x Genomics Inc. (vendor product page) (n=1, donors=0)"
Prostate,Spatial Transcriptomics,24,1,1,0,0,24,24,0,1835155207,"KTH Royal Institute of Technology (n=24, donors=0)"
Uterus,Visium,17,2,1,0,0,17,17,0,3819025581,"Baylor College of Medicine and Texas Children's Hospital (n=15, donors=0); Women's Cancer Research Program at the Samuel Oschin Comprehensive Cancer Center (n=2, donors=0)"
Breast,Xenium,21,0,0,0,11,0,4,4,26129750136,"unresolved: https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1 (n=12, donors=4); 10x Genomics Inc. (vendor product page) (n=6, donors=5); 10x Genomics Inc. (n=3, donors=2)"
Bladder,Visium,6,0,0,0,6,0,6,0,1459687977,"unresolved: no study link | A new epithelial cell subpopulation predicts response to surgery, chemotherapy, and immunotherapy in bladder cancer (n=4, donors=4); unresolved: https://www.sciencedirect.com/science/article/pii/S2211124724004698?via%3Dihub#app2 (n=2, donors=2)"
Bowel,Visium HD,5,0,0,0,4,1,0,0,3917586461,"10x Genomics Inc. (n=4, donors=4); 10x Genomics Inc. (vendor product page) (n=1, donors=0)"
Bowel,Xenium,6,0,0,0,3,3,3,4,5459737585,"10x Genomics Inc. (n=3, donors=3); 10x Genomics Inc. (vendor product page) (n=3, donors=0)"
Pancreas,Xenium,3,0,0,0,3,0,0,3,1365662640,"10x Genomics Inc. (vendor product page) (n=3, donors=3)"
Lymphoid,Xenium,5,0,0,0,2,3,3,0,4009077690,"10x Genomics Inc. (vendor product page) (n=5, donors=2)"
Skin,Xenium,5,0,0,0,2,3,0,2,2305531093,"10x Genomics Inc. (vendor product page) (n=5, donors=2)"
Bone,Xenium,1,0,0,0,0,1,1,0,848960547,"10x Genomics Inc. (vendor product page) (n=1, donors=0)"
Brain,Xenium,1,0,0,0,0,1,0,0,1807995145,"10x Genomics Inc. (vendor product page) (n=1, donors=0)"
Breast,Visium,8,0,0,0,0,8,6,0,6106010516,"10x Genomics Inc. (vendor product page) (n=7, donors=0); 10x Genomics Inc. (n=1, donors=0)"
Breast,Visium HD,3,0,0,0,0,3,1,0,1830141838,"10x Genomics Inc. (vendor product page) (n=3, donors=0)"
Cervix,Xenium 5k,1,0,0,0,0,1,0,0,1903925768,"10x Genomics Inc. (vendor product page) (n=1, donors=0)"
Heart,Spatial Transcriptomics,19,0,0,0,0,19,19,0,1785238641,"unresolved: https://www.sciencedirect.com/science/article/pii/S0092867419312826?via%3Dihub (n=19, donors=0)"
Heart,Xenium,1,0,0,0,0,1,1,0,242996716,"10x Genomics Inc. (vendor product page) (n=1, donors=0)"
Kidney,Visium HD,1,0,0,0,0,1,0,0,649195068,"10x Genomics Inc. (vendor product page) (n=1, donors=0)"
Kidney,Xenium,2,0,0,0,0,2,2,0,541000563,"10x Genomics Inc. (vendor product page) (n=2, donors=0)"
Liver,Xenium,2,0,0,0,0,2,2,0,1442804716,"10x Genomics Inc. (vendor product page) (n=2, donors=0)"
Lung,Visium HD,5,0,0,0,0,5,0,0,2415597998,"10x Genomics Inc. (vendor product page) (n=5, donors=0)"
Lung,Xenium 5k,4,1,0,0,0,4,0,0,8227366032,"10x Genomics Inc. (vendor product page) (n=2, donors=0); Translational Genomics Research Institute (TGen) (n=2, donors=0)"
Lymphoid,Visium HD,3,0,0,0,0,3,1,0,1842621447,"10x Genomics Inc. (vendor product page) (n=3, donors=0)"
