task,gene,n,mean,var,zero_frac,fano,nb_alpha_mom,bic_nb,bic_zinb,nb_converged,zinb_converged,delta_bic,mean_depth,zinb_preferred,both_converged,platform,col,nb_diverged
CCRCC,AKAP8,74220,0.6618835893290218,1.7711902433906654,0.6159660468876313,2.6759845265029045,2.5321439502706484,165242.2426091817,165253.575066124,True,True,-11.33245694229845,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,BLVRB,74220,0.6796954998652655,1.8831350613494784,0.6494610617084344,2.770556906324624,2.604926627696664,165095.4964008409,165106.72858548423,True,True,-11.232184643333312,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,BTF3,74220,1.374818108326597,8.860371805662464,0.5677041228779305,6.444759311795177,3.9603488481995903,223577.4811735587,223588.7011567724,True,True,-11.21998321369756,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,CD109,74220,1.0049986526542711,3.824130552821586,0.574184855834007,3.805110128975589,2.7911580991348575,201504.3405323293,201515.6515034551,True,True,-11.310971125785729,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,CD14,74220,1.647008892481811,9.874088656194925,0.4558474804634869,5.995164143477124,3.0328701722733955,254735.8032459525,254747.02340392067,True,True,-11.220157968171408,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,CHST15,74220,0.9920102398275398,4.8091224898236,0.5383319859876045,4.847855694170719,3.878846749444509,202444.87490960173,202456.11645259045,True,True,-11.24154298871872,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,CIB1,74220,1.9312718943680949,27.212013338002016,0.4066828348154136,14.090203154385824,6.7780218790316376,271528.69136252115,271539.90777925734,True,True,-11.216416736191604,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,CKB,74220,1.3578954459714363,10.866088511953285,0.5608191862031797,8.002154027536118,5.1566223661106605,224326.34818225223,224337.56756136668,True,True,-11.21937911445275,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,CPD,74220,1.3950282942603072,10.47913829936515,0.5027755322015629,7.511774737817455,4.667844204027579,232888.66334975828,232899.8952146482,True,True,-11.231864889909048,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,CPE,74220,5.700323362974939,163.6017002686548,0.3236189706278631,28.700424493685706,4.85944791721941,386570.0519769834,386581.2689013973,True,True,-11.216924413922245,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,DERL1,74220,1.5849501482080302,16.936167144741216,0.4686742118027486,10.685615042144711,6.110990338147494,247780.5510235525,247791.81679714745,True,True,-11.265773594903294,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,DNAJB12,74220,0.6043654001616815,2.5626939949385954,0.6708973322554568,4.240305606927558,5.361500850413844,153879.4065729585,153890.6227458877,True,True,-11.216172929183813,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,EGFL7,74220,0.8838183777957423,3.830301753886911,0.6078954459714363,4.333810939120487,3.772054330251727,187180.54194712703,187191.75789404908,True,True,-11.21594692202052,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,FLNB,74220,1.5746429533818378,14.640314178825696,0.4689436809485314,9.297545292653746,5.2694772963186525,247902.3288090776,247913.5676008862,True,True,-11.2387918086024,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,GADD45B,74220,1.2968876313662083,8.92789017694722,0.4824979789814066,6.884089231032389,4.537084855095568,229615.84998890283,229627.0675620901,True,True,-11.217573187255766,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,GPNMB,74220,1.3751549447588252,15.11427243317931,0.536944219886823,10.99095959388784,7.265333722550119,227329.57842151387,227340.80644318924,True,True,-11.228021675371563,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,H3F3A,74220,1.9735650767987063,25.803771738782235,0.5433575855564537,13.0747002174553,6.118217412440997,250299.38536997672,250310.9506679616,True,True,-11.56529798489646,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,HMOX1,74220,1.042697386149286,7.868897344120683,0.5681622204257613,7.5466740865063136,6.2785945121464115,203115.07214349305,203126.2877534193,True,True,-11.215609926293835,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
CCRCC,HNRNPK,74220,2.1592562651576395,20.42551894994323,0.4228105631905147,9.45951588958434,3.917791522057592,280368.0949260886,280379.3420328324,True,True,-11.24710674380185,9947.404296875,False,True,Visium (whole transcriptome),#1b6ca8,False
