task,sample_id,n_spots,n_nuclei,spot_pitch_px,frac_assigned,spots_with_nuclei,classes
PRAD,MEND139,3749,208521,292.5939527731901,0.8847070558840596,3734,connective|epithelial|inflammatory|neoplastic
PRAD,MEND140,1935,92292,292.6700565893273,0.8856997356217223,1933,connective|epithelial|inflammatory|neoplastic
PRAD,MEND141,1794,57741,293.04584758470804,0.7601877348850903,1784,connective|epithelial|inflammatory|neoplastic
PRAD,MEND142,2997,172672,293.0010074334219,0.7831379725722758,2996,connective|epithelial|inflammatory|neoplastic
PRAD,MEND143,3816,151573,292.7191387422431,0.8080264954840242,3816,connective|epithelial|inflammatory|neoplastic
PRAD,MEND144,4074,128042,292.9572261354911,0.8569063276112525,4074,connective|epithelial|inflammatory|neoplastic
PRAD,MEND145,1418,64003,292.90100038408866,0.7828695529897036,1408,connective|epithelial|inflammatory|neoplastic
PRAD,MEND146,1964,49572,292.98523616216625,0.8824336318889696,1958,connective|epithelial|inflammatory|neoplastic
PRAD,MEND147,2335,113158,287.02830903046913,0.8733010480920483,2293,connective|epithelial|inflammatory|neoplastic
PRAD,MEND148,1633,69578,286.78601017650783,0.8488315272068757,1621,connective|epithelial|inflammatory|neoplastic
PRAD,MEND149,1851,101063,286.85188411075467,0.8554367077961271,1847,connective|epithelial|inflammatory|neoplastic
PRAD,MEND150,1751,103956,287.04473365503543,0.8027915656623956,1751,connective|epithelial|inflammatory|neoplastic
PRAD,MEND151,2600,123929,286.8270134994255,0.8560627456043379,2600,connective|epithelial|inflammatory|neoplastic
PRAD,MEND152,3082,163558,286.3295014233772,0.882720502818572,3078,connective|epithelial|inflammatory|neoplastic
PRAD,MEND153,1820,99507,286.8720619304878,0.8263438753052549,1777,connective|epithelial|inflammatory|neoplastic
PRAD,MEND154,2736,139574,174.5306105263153,0.7728516772464785,2723,connective|epithelial|inflammatory|neoplastic
PRAD,MEND156,3554,258879,174.5306105263153,0.6231057752849787,3544,connective|dead|epithelial|inflammatory|neoplastic
PRAD,MEND157,3190,145230,174.53075177888078,0.8295186944846106,3185,connective|epithelial|inflammatory|neoplastic
PRAD,MEND158,3092,137685,174.30856140350807,0.8188836837709264,3072,connective|dead|epithelial|inflammatory|neoplastic
PRAD,MEND159,3856,294647,145.44089185853417,0.867034112005213,3853,connective|dead|epithelial|inflammatory|neoplastic
PRAD,MEND160,4079,220480,174.53075177888078,0.761325290275762,4071,connective|epithelial|inflammatory|neoplastic
PRAD,MEND161,2775,138072,145.44041829660736,0.8402355292890665,2753,connective|dead|epithelial|inflammatory|neoplastic
PRAD,MEND162,2609,61368,582.3147106250948,0.8533437622213531,2401,connective|epithelial|inflammatory|neoplastic
